"ID","Handle","Type","Field: help_text"
"223151948092","battle-rope-anchor-french-fitness-rack-accessories-add-ons-730","product_option_help_text","<center>
<b>French Fitness Rack &amp; Rig Battle Rope Anchor</b><br><br><img src=""https://cdn.shopify.com/s/files/1/0884/2012/2940/files/ff-rig-battle-rope-anchor.jpg?v=1734490585"" style=""max-width:100%; height: auto; padding:20px;"">
</center><br><br>
Enables you to attach training ropes and develop strength and explosive power in your arms, back, and core.
<div style=""min-height:20px;""></div>
Designed to fit our Racks/Cages/Rigs:<br>
<a href=""/products/french-fitness-dhr80-double-half-rack-cage-new"">French Fitness DHR80 Double Half Rack</a><br>
<a href=""/products/french-fitness-shr80-single-half-rack-cage-new"">French Fitness SHR80 Single Half Rack</a><br>
<a href=""/products/french-fitness-tahoe-power-cage-full-rack-new"">French Fitness Tahoe Power Cage / Full Rack</a><br>
<a href=""/products/french-fitness-wall-mounted-foldable-squat-rack-wmr10-new"">French Fitness Wall Mounted Foldable Squat Rack WMR10</a><br>
French Fitness <a href=""/collections/pre-configured-rigs"">Free Standing/Wall Mounted Rigs</a><br>"
"223153914172","webbed-safety-catchers-french-fitness-rack-accessories-add-ons-703","product_option_help_text","<center>
<b>French Fitness Rack &amp; Rig Webbed Safety Catchers - Set of 2</b><br><img src=""https://cdn.shopify.com/s/files/1/0884/2012/2940/files/ff-rig-webbed-catchers.jpg?v=1734556230"" style=""max-width: 100%; height: auto;"">
</center>
<p>The French Fitness Rack &amp; Rig Webbed Safety Catchers protect your barbell, guarantee it doesn't fall below a set level, and ensure it won't land on you if a rep is missed.</p>
<div style=""min-height: 20px;""><br></div>
<p><b>Designed to fit our Racks/Cages/Rigs:</b></p>
<p>36"" Strap Length:<br><a href=""https://www.fitnesssuperstore.com/products/french-fitness-dhr80-double-half-rack-cage-new"">French Fitness DHR80 Double Half Rack</a><br><a href=""https://www.fitnesssuperstore.com/products/french-fitness-shr80-single-half-rack-cage-new"">French Fitness SHR80 Single Half Rack</a><br><a href=""https://www.fitnesssuperstore.com/products/french-fitness-r30-re-monster-power-rack-new"">French Fitness R30-RE Monster Power Rack</a><br><a href=""https://www.fitnesssuperstore.com/products/french-fitness-r30-3ds-monster-3d-dual-action-smith-rack-new"">French Fitness R30-3DS Monster 3D Dual Action Smith Rack</a><br><a href=""https://www.fitnesssuperstore.com/products/french-fitness-tahoe-power-cage-full-rack-new"">French Fitness Tahoe Power Cage / Full Rack</a> <br></p>
<p>42.5"" Strap Length:<br><a href=""https://www.fitnesssuperstore.com/products/french-fitness-r30-monster-power-rack-new"">French Fitness R30 Monster Power Rack</a><br>French Fitness <a href=""https://www.fitnesssuperstore.com/collections/pre-configured-rigs"">Free Standing/Wall Mounted Rigs</a></p>"
"223155749180","band-pegs-french-fitness-rack-accessories-add-ons-706","product_option_help_text","<center>
<b>
French Fitness Rack &amp; Rig Band Pegs</b><br>
<img src=""https://cdn.shopify.com/s/files/1/0884/2012/2940/files/ff-rig-band-pegs.jpg?v=1734490557"" style=""max-width: 100%; height: auto;"">
</center>
The French Fitness Rack &amp; Rig Band Pegs are movable attachments and can offer a variety of resistance band training alternatives and storage functionality. To use, simply insert the peg into the rack's hole. The T-shape locks the peg into place; no pin needed. Adding banded load to your workout can help boost power output, change the resistance's direction, and enhance stability. These can fit anywhere on your Rigs and Racks and come in a pack of 4. Inserting them at the top of your rack will allow you to use them as storage and hold accessories like jump ropes, bands, and other items.

<div style=""min-height:20px;""></div>
Designed to fit our Racks/Cages/Rigs:<br>
<a href=""/products/french-fitness-dhr80-double-half-rack-cage-new"">French Fitness DHR80 Double Half Rack</a><br>
<a href=""/products/french-fitness-shr80-single-half-rack-cage-new"">French Fitness SHR80 Single Half Rack</a><br>
<a href=""/products/french-fitness-wall-mounted-foldable-squat-rack-wmr10-new"">French Fitness Wall Mounted Foldable Squat Rack WMR10</a><br>
French Fitness <a href=""/collections/pre-configured-rigs"">Free Standing/Wall Mounted Rigs</a><br><br>
<b>Tech Specs</b>
<ul>
<li>Length: 9.6"" (245 mm)
</li>
<li>Height: 2.7"" (70 mm)
</li>
<li>Pin Diameter (Thickness): 1"" (25 mm)
</li>
<li><span id=""prop65"" class=""prop65"">California Residents <span style=""color: #f1592a; cursor:pointer;"">see Prop 65 WARNINGS</span></span></li>
</ul>"
"223156732220","pipe-bomb-grip-french-fitness-rack-accessories-add-ons-695","product_option_help_text","<center>
<b>French Fitness Rack &amp; Rig Pipe Bomb Grip</b><br><br>
<img src=""https://cdn.shopify.com/s/files/1/0884/2012/2940/files/ff-rig-pipe-bomb-grip.jpg?v=1734534956"" style=""max-width: 100%; height: auto;"">
</center><br><br>
The French Fitness Rack &amp; Rig Pipe Bomb Grip is a versatile tool that can be used for a variety of training methods. Quick and easy to attach to any free weight, pull-up bar on a rig or rack for effective grip training. Targets the forearm muscles similarly to a rope climb, providing a more rigorous form of bodyweight training than a regular pull-up bar.
Perfect for Ninja Warrior, Parkour, gymnastics, and rock climbing athletes.
<div style=""min-height:20px;"">
</div>
Designed to fit our Racks/Cages/Rigs:
<div style=""min-height:5px;"">
</div>
<a href=""/products/french-fitness-dhr80-double-half-rack-cage-new"">French Fitness DHR80 Double Half Rack</a><br>
<a href=""/products/french-fitness-shr80-single-half-rack-cage-new"">French Fitness SHR80 Single Half Rack</a><br>
<a href=""/products/french-fitness-tahoe-power-cage-full-rack-new"">French Fitness Tahoe Power Cage / Full Rack</a><br>
<a href=""/products/french-fitness-wall-mounted-foldable-squat-rack-wmr10-new"">French Fitness Wall Mounted Foldable Squat Rack WMR10</a><br>
French Fitness <a href=""/collections/pre-configured-rigs"">Free Standing/Wall Mounted Rigs</a>"
"223157256508","landmine-french-fitness-rack-accessories-add-ons-705","product_option_help_text","<center>
<b>French Fitness Rack &amp; Rig Landmine</b><br><br><img src=""https://cdn.shopify.com/s/files/1/0884/2012/2940/files/ff-rig-landmine.jpg?v=1734490542"" style=""max-width:100%; height: auto; padding:20px;"">
</center><br><br>
Allows you to perform a variety of workouts with a barbell to strengthen your shoulders and core.
<div style=""min-height:20px;""></div>
Designed to fit our Racks/Cages/Rigs:<br>
<a href=""/products/french-fitness-dhr80-double-half-rack-cage-new"">French Fitness DHR80 Double Half Rack</a><br>
<a href=""/products/french-fitness-shr80-single-half-rack-cage-new"">French Fitness SHR80 Single Half Rack</a><br>
<a href=""/products/french-fitness-tahoe-power-cage-full-rack-new"">French Fitness Tahoe Power Cage / Full Rack</a><br>
<a href=""/products/french-fitness-wall-mounted-foldable-squat-rack-wmr10-new"">French Fitness Wall Mounted Foldable Squat Rack WMR10</a><br>
French Fitness <a href=""/collections/pre-configured-rigs"">Free Standing/Wall Mounted Rigs</a><br>"
"223157780796","pull-up-bar-french-fitness-rack-accessories-add-ons-698","product_option_help_text","<img src=""https://cdn.shopify.com/s/files/1/0884/2012/2940/files/ff-rr-pb-43.jpg?v=1734557728"" style=""width: 300px; height: auto; float: left; padding:10px;"">The French Fitness Rack &amp; Rig Pull Up Bar Multi-grip pull-up are available in lengths of <a href=""/products/french-fitness-43-rack-rig-pull-up-bar-new"">43 inches</a> and <a href=""/products/french-fitness-71-rack-rig-pull-up-bar-new"">71 inches</a>. These bars provide you with a range of grip options, including wide, narrow, and neutral grips, allowing you to vary your hand placement during pull-ups. This versatility targets different muscle groups and adds diversity to your workout routine.
<div style=""min-height:20px;"">
</div>
Designed to fit our Racks/Cages/Rigs:
<div style=""min-height:5px;"">
</div>
<a href=""/products/french-fitness-dhr80-double-half-rack-cage-new"">French Fitness DHR80 Double Half Rack</a><br>
<a href=""/products/french-fitness-shr80-single-half-rack-cage-new"">French Fitness SHR80 Single Half Rack</a><br>
<a href=""/products/french-fitness-tahoe-power-cage-full-rack-new"">French Fitness Tahoe Power Cage / Full Rack</a><br>
<a href=""/products/french-fitness-wall-mounted-foldable-squat-rack-wmr10-new"">French Fitness Wall Mounted Foldable Squat Rack WMR10</a><br>
French Fitness <a href=""/collections/pre-configured-rigs"">Free Standing/Wall Mounted Rigs</a><br>
<div style=""clear: both;""></div>
<div style=""min-height:20px;"">
</div>
<h5>
<b>Features</b>
</h5>
<ul>
<li>Serves as the foundation for numerous upper body exercises, promoting strength and muscular endurance.
</li>
<li>Allows you to perform hanging leg raises, knee tucks, and even attach TRX straps for exercises like suspended rows and core work.
</li>
<li>Accomodates various attachments and accessories for exercise variations such as chin-ups, hanging leg raises, and muscle-ups.
</li>
<li>Hole Diameter (For <a href=""/collections/rig-attachments-accessories"">Rig &amp; Rack Attachments</a>): 1""</li>
<li><span id=""prop65"" class=""prop65"">California Residents <span style=""color: #f1592a; cursor:pointer;"">see Prop 65 WARNINGS</span></span></li>
</ul>
<div style=""min-height:20px;"">
</div>
<h5><b>Tech Specs</b></h5>

<ul>
<li>43"" Rack &amp; Rig Pull Up Bar Length: 42.5""</li>
<li>71"" Rack &amp; Rig Pull Up Bar Length: 70.8""</li>
</ul>
<br>
<div style=""text-align:center;"">
<img src=""https://cdn.shopify.com/s/files/1/0884/2012/2940/files/ff-rig-pb-43_2.jpg?v=1734557731"" style=""max-width: 100%; height: auto;""><br><br>
<img src=""https://cdn.shopify.com/s/files/1/0884/2012/2940/files/ff-rig-pb-71_3.jpg?v=1734557734"" style=""max-width: 100%; height: auto;""><br><br>
</div>"
"223158599996","jammer-arms-french-fitness-rack-accessories-add-ons-707","product_option_help_text","<center>
<b>French Fitness Rack &amp; Rig Jammer Arms Attachment</b><br><br><img src=""https://cdn.shopify.com/s/files/1/0884/2012/2940/files/ff-rig-jammer-arms.jpg?v=1734535043"" style=""max-width:100%; height: auto; padding:20px;"">
</center>
<br><br>
Create a compact solution for building explosive upper body strength. Excellent for seated rows, single arm rows, shrugs, and many other exercises.
<div style=""min-height:20px;""></div>
Designed to fit our Racks/Cages/Rigs:<br>
<a href=""/products/french-fitness-dhr80-double-half-rack-cage-new"">French Fitness DHR80 Double Half Rack</a><br>
<a href=""/products/french-fitness-shr80-single-half-rack-cage-new"">French Fitness SHR80 Single Half Rack</a><br>
<a href=""/products/french-fitness-tahoe-power-cage-full-rack-new"">French Fitness Tahoe Power Cage / Full Rack</a><br>
<a href=""/products/french-fitness-wall-mounted-foldable-squat-rack-wmr10-new"">French Fitness Wall Mounted Foldable Squat Rack WMR10</a><br>
French Fitness <a href=""/collections/pre-configured-rigs"">Free Standing/Wall Mounted Rigs</a><br>"
"223158731068","ball-holder-french-fitness-rack-accessories-add-ons-732","product_option_help_text","<center>
<b>French Fitness Rack &amp; Rig Ball Holder</b><img src=""https://cdn.shopify.com/s/files/1/0884/2012/2940/files/ff-rig-ball-holder.jpg?v=1734490599"" style=""max-width:100%; height: auto; padding:20px;"">
</center><br><br>
The French Fitness Rack &amp; Rig Single Ball Holder Attachment easily mounts on the uprights out of the way of exercise equipment and gym users. The slim design makes it easier to store balls without taking up too much space. Because it's attached to the uprights, you can group a couple of them together and reorganize however you desire. Store everything from medicine balls to exercise balls on this sturdy metal rack.
<div style=""min-height:20px;""></div>
Designed to fit our Racks/Cages/Rigs:<br>
<a href=""/products/french-fitness-dhr80-double-half-rack-cage-new"">French Fitness DHR80 Double Half Rack</a><br>
<a href=""/products/french-fitness-shr80-single-half-rack-cage-new"">French Fitness SHR80 Single Half Rack</a><br>
<a href=""/products/french-fitness-tahoe-power-cage-full-rack-new"">French Fitness Tahoe Power Cage / Full Rack</a><br>
<a href=""/products/french-fitness-wall-mounted-foldable-squat-rack-wmr10-new"">French Fitness Wall Mounted Foldable Squat Rack WMR10</a><br>
French Fitness <a href=""/collections/pre-configured-rigs"">Free Standing/Wall Mounted Rigs</a><br>"
"223159189820","power-band-holder-french-fitness-rack-accessories-add-ons-708","product_option_help_text","<center>
<b>French Fitness Rack &amp; Rig Power Band Holder</b><br>
<img src=""https://cdn.shopify.com/s/files/1/0884/2012/2940/files/ff-rig-power-band-holder.jpg?v=1734490571"" style=""max-width:100%; height: auto; padding:20px;"">
</center>
The French Fitness Rack &amp; Rig Power Band Holders are made of steel and can handle the strongest bands on the market. Use them for band training to warm up, improve mobility, and aid in recovery, or combine them with complex lifts like squats and deadlifts to create a variable load. For standard lifts like bench presses and squats, use these pegs to implement ascending resistance. Alternatively, use the pegs as anchors when stretching and exercising with resistance bands.
<div style=""min-height:20px;"">
</div>
Designed to fit our Racks/Cages/Rigs:
<div style=""min-height:5px;"">
</div>
<a href=""/products/french-fitness-dhr80-double-half-rack-cage-new"">French Fitness DHR80 Double Half Rack</a><br>
<a href=""/products/french-fitness-shr80-single-half-rack-cage-new"">French Fitness SHR80 Single Half Rack</a><br>
<a href=""/products/french-fitness-tahoe-power-cage-full-rack-new"">French Fitness Tahoe Power Cage / Full Rack</a><br>
<a href=""/products/french-fitness-wall-mounted-foldable-squat-rack-wmr10-new"">French Fitness Wall Mounted Foldable Squat Rack WMR10</a><br>
French Fitness <a href=""/collections/pre-configured-rigs"">Free Standing/Wall Mounted Rigs</a>"
"223159681340","kettlebell-tiertray-french-fitness-rack-accessories-add-ons-700","product_option_help_text","<h5><b>French Fitness Rack &amp; Rig Kettlebell Tier/Tray Attachment</b></h5>
<img src=""https://cdn.shopify.com/s/files/1/0884/2012/2940/files/FF-RR-KRA.jpg?v=1734534989"" style=""max-width: 100%; height: auto;""><br><br>
The French Fitness Rack &amp; Rig Kettlebell Tier/Tray Attachment easily mounts to your Rig, keeping your kettlebells easy to access, organized, and off the ground. Made to organize and save space while neatly storing kettlebells of various shapes and sizes. The attachment fits snugly to your rig, is simple to install, and can be positioned at the preferred height or side of your setup.<br><br>
The French Fitness Rack &amp; Rig Bumper Plate Tier/Tray Attachment is available in both <a href=""/products/french-fitness-43-rack-rig-kettlebell-tier-tray-attachment-new"">43""</a> and <a href=""/products/french-fitness-71-rack-rig-kettlebell-tier-tray-attachment-new"">71""</a> variants.
<div style=""min-height:20px;"">
</div>
Designed to fit our Racks/Cages/Rigs:
<div style=""min-height:5px;"">
</div>
<a href=""/products/french-fitness-dhr80-double-half-rack-cage-new"">French Fitness DHR80 Double Half Rack</a><br>
<a href=""/products/french-fitness-shr80-single-half-rack-cage-new"">French Fitness SHR80 Single Half Rack</a><br>
<a href=""/products/french-fitness-tahoe-power-cage-full-rack-new"">French Fitness Tahoe Power Cage / Full Rack</a><br>
<a href=""/products/french-fitness-wall-mounted-foldable-squat-rack-wmr10-new"">French Fitness Wall Mounted Foldable Squat Rack WMR10</a><br>
French Fitness <a href=""/collections/pre-configured-rigs"">Free Standing/Wall Mounted Rigs</a><br>
<div style=""min-height:20px;"">
</div>
<b>Features</b>
<ul>
<li>11-gauge Steel
</li>
<li>Powder-coated Black
</li>
<li>Easy to attach on the uprights 
</li>
<li>Removable and adjustable to the desired position</li>
<li><span id=""prop65"" class=""prop65"">California Residents <span style=""color: #f1592a; cursor:pointer;"">see Prop 65 WARNINGS</span></span></li>
</ul>
<br>
<b>Tech Specs</b>
<ul>
<li>Length: 42.5"" / 70.8""</li>
</ul>
<br>
<div style=""text-align:center;"">

<img src=""https://cdn.shopify.com/s/files/1/0884/2012/2940/files/ff-rr-kbr_3.jpg?v=1734534992"" style=""max-width: 100%; height: auto;""><br><br>
</div>"
