# SKU-keyed Google feed title overrides.
#
# Source: Tim's Sept 5 2026 email "Feed retitles - 10 hero SKUs - execute now via
# supplemental + bake into Phase 2 generator". These are MERCHANT CENTER titles,
# not Shopify page titles. Every one of the 10 differs from the live Shopify
# title, so a generator that pulls Shopify titles without this table silently
# reverts all 10 at cutover.
#
# Rules carried over from that email:
#   - Exact strings, character for character. Keyword phrase stays inside the
#     first 70 characters.
#   - No title edits on these SKUs for 4+ weeks after they go live. Google
#     re-learns matching on stable titles.
#
# Add a row here only with Tim's written approval.
sku,title
FFT-LPSCR,"French Fitness Tahoe Leg Press Sled Machine – Seated w/ Calf Raise, Commercial Grade (FFT-LPSCR)"
FFB-45DLLP,"French Fitness FFB Black 45 Degree Leg Press Machine – Linear Plate Loaded, Commercial (FFB-45DLLP)"
FFT-SLCLE,"French Fitness Tahoe Leg Extension & Leg Curl Machine – Seated Selectorized, Commercial (FFT-SLCLE)"
FFT-PLCLE,"French Fitness Tahoe Leg Curl & Leg Extension Machine – Prone Selectorized, Commercial (FFT-PLCLE)"
FFT-LPDLR,"French Fitness Tahoe Lat Pulldown & Low Row Machine Combo – Selectorized, Commercial (FFT-LPDLR)"
FFM-PLHSLP,"French Fitness Monster Hack Squat Leg Press Combo Machine – Plate Loaded, Commercial (FFM-PLHSLP)"
FFT-HAA,"French Fitness Tahoe Hip Abduction & Adduction Machine – Inner Outer Thigh, Commercial (FFT-HAA)"
FFB-DAP,"French Fitness FFB Black Dual Adjustable Pulley Machine – Cable Crossover, Commercial (FFB-DAP)"
FFT-ACD,"French Fitness Tahoe Assisted Pull Up & Dip Machine – Chin Dip Selectorized, Commercial (FFT-ACD)"
FF-FSR90,"French Fitness FSR90 Smith Machine, Functional Trainer & Squat Rack – All In One Commercial (FF-FSR90)"
