field_key,bound_in_live_theme,binding_count,liquid_sections,product_templates,notes
product_title,YES,0,,,"displayNameKey for the definition - used as the admin label, not rendered on the storefront."
all_in_one_overview,YES,14,,product.boost-test.json|product.byo-rig.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.gym-package.json|product.json|product.mats-multi-variant.json|product.mats-pdp.json|product.mats-single-variant.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
features,YES,15,,product.boost-test.json|product.byo-rig.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.gym-package.json|product.home-gym-packages.json|product.json|product.mats-multi-variant.json|product.mats-pdp.json|product.mats-single-variant.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
other_features,YES,3,sections/HGS-extra-info.liquid:572|sections/extra-info.liquid:127,product.home-gym-packages.json,
benefits,YES,10,,product.boost-test.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.home-gym-packages.json|product.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
tech_specs,YES,15,,product.boost-test.json|product.byo-rig.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.gym-package.json|product.home-gym-packages.json|product.json|product.mats-multi-variant.json|product.mats-pdp.json|product.mats-single-variant.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
other_tech_specs,YES,2,sections/extra-info.liquid:373,product.home-gym-packages.json,
weight_stacks,YES,11,,product.boost-test.json|product.byo-rig.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.gym-package.json|product.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
comparison_chart_title,YES,10,sections/extra-info.liquid:382,product.boost-test.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
comparison_chart_table,YES,10,sections/extra-info.liquid:390,product.boost-test.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
other_comparison_charts,YES,1,sections/extra-info.liquid:399,,
buying_guide,YES,11,sections/extra-info.liquid:417,product.boost-test.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.home-gym-packages.json|product.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
frequently_asked_questions,YES,12,sections/extra-info.liquid:425,product.boost-test.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.home-gym-packages.json|product.json|product.mats-single-variant.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
downloads_other_info,NO,0,,,NOT bound anywhere in the live theme (fitnesssuperstore-shopify/main) - candidate for field deprecation.
shipping_dims_weight_2,YES,11,sections/extra-info.liquid:437,product.boost-test.json|product.byo-rig.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
warranty_info,YES,15,,product.boost-test.json|product.byo-rig.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.gym-package.json|product.home-gym-packages.json|product.json|product.mats-multi-variant.json|product.mats-pdp.json|product.mats-single-variant.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
set_includes,YES,2,sections/extra-info.liquid:450|sections/main-product-comb.liquid:1573,,
accessories_included,YES,1,sections/extra-info.liquid:477,,
accessory_feature,YES,14,,product.boost-test.json|product.byo-rig.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.gym-package.json|product.json|product.mats-multi-variant.json|product.mats-pdp.json|product.mats-single-variant.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
smith_bar_specs,YES,14,,product.boost-test.json|product.byo-rig.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.gym-package.json|product.json|product.mats-multi-variant.json|product.mats-pdp.json|product.mats-single-variant.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
list,YES,11,,product.boost-test.json|product.byo-rig.json|product.combined-listings.json|product.customised-product.json|product.discontinued.json|product.gift_cards.json|product.gym-package.json|product.json|product.shopify-product-option.json|product.variants-pulley.json|product.variants.json,
shipping_dims_weight,YES,1,,product.gym-package.json,
exercises,NO,0,,,NOT bound anywhere in the live theme (fitnesssuperstore-shopify/main) - candidate for field deprecation.
