group_id,group_type,match_key,metaobject_id,handle,display_name,updated_at,populated_field_count,populated_fields,referencing_product_count,referencing_product_handles,referencing_product_statuses,fields_that_differ_in_group,canonical_pick
D001,SAME_PRODUCT_TITLE,french fitness fsr50-ab adjustable bench (new),127882854716,french-fitness-fsr-50-ab-adjustable-bench-new,French Fitness FSR50-AB Adjustable Bench (New),2025-01-08T02:36:26Z,4,product_title|features|tech_specs|warranty_info,0,,,warranty_info,duplicate
D001,SAME_PRODUCT_TITLE,french fitness fsr50-ab adjustable bench (new),136250687804,french-fitness-fsr-50-ab-adjustable-bench-new-1,French Fitness FSR50-AB Adjustable Bench (New),2025-10-26T19:37:19Z,4,product_title|features|tech_specs|warranty_info,1,french-fitness-fsr50-ab-adjustable-bench-new,ACTIVE,warranty_info,CANONICAL
D002,SAME_PRODUCT_TITLE,french fitness push / pull weight sled (new),135486767420,french-fitness-push-pull-weight-sled-new,French Fitness Push / Pull Weight Sled (New),2026-06-23T14:32:56Z,4,product_title|features|tech_specs|warranty_info,1,french-fitness-push-pull-weight-sled-new,ACTIVE,features|benefits|tech_specs,CANONICAL
D002,SAME_PRODUCT_TITLE,french fitness push / pull weight sled (new),183262150972,french-fitness-push-pull-weight-sled-new-1,French Fitness Push / Pull Weight Sled (New),2025-10-26T19:37:28Z,4,product_title|features|benefits|warranty_info,1,french-fitness-push-pull-weight-sled-v3-new,UNLISTED,features|benefits|tech_specs,duplicate
D003,SAME_PRODUCT_TITLE,french fitness tahoe pec fly / rear delt (new),135666106684,french-fitness-tahoe-pec-fly-rear-delt-new,French Fitness Tahoe Pec Fly / Rear Delt (New),2026-05-21T23:54:46Z,10,product_title|features|benefits|tech_specs|weight_stacks|comparison_chart_title|comparison_chart_table|buying_guide|frequently_asked_questions|warranty_info,1,french-fitness-tahoe-pec-fly-rear-delt-new,ACTIVE,features|benefits|tech_specs|weight_stacks|comparison_chart_title|comparison_chart_table|buying_guide|frequently_asked_questions|warranty_info,CANONICAL
D003,SAME_PRODUCT_TITLE,french fitness tahoe pec fly / rear delt (new),176470065468,french-fitness-tahoe-pec-fly-rear-delt-new-1,French Fitness Tahoe Pec Fly / Rear Delt (New),2025-09-03T14:37:12Z,1,product_title,0,,,features|benefits|tech_specs|weight_stacks|comparison_chart_title|comparison_chart_table|buying_guide|frequently_asked_questions|warranty_info,duplicate
D004,SAME_PRODUCT_TITLE,french fitness tahoe seated leg curl / leg extension (new),135666336060,french-fitness-tahoe-seated-leg-curl-leg-extension-new,French Fitness Tahoe Seated Leg Curl / Leg Extension (New),2026-08-04T22:00:43Z,10,product_title|features|benefits|tech_specs|weight_stacks|comparison_chart_title|comparison_chart_table|buying_guide|frequently_asked_questions|warranty_info,1,french-fitness-tahoe-seated-leg-curl-leg-extension-new,ACTIVE,features|benefits|tech_specs|weight_stacks|comparison_chart_title|comparison_chart_table|buying_guide|frequently_asked_questions|warranty_info,CANONICAL
D004,SAME_PRODUCT_TITLE,french fitness tahoe seated leg curl / leg extension (new),176468525372,french-fitness-tahoe-seated-leg-curl-leg-extension-new-1,French Fitness Tahoe Seated Leg Curl / Leg Extension (New),2025-09-03T14:06:33Z,1,product_title,0,,,features|benefits|tech_specs|weight_stacks|comparison_chart_title|comparison_chart_table|buying_guide|frequently_asked_questions|warranty_info,duplicate
D005,SAME_PRODUCT_TITLE,french fitness tahoe prone leg curl / leg extension (new),135666958652,french-fitness-tahoe-prone-leg-curl-leg-extension-new,French Fitness Tahoe Prone Leg Curl / Leg Extension (New),2026-07-31T16:30:43Z,10,product_title|features|benefits|tech_specs|weight_stacks|comparison_chart_title|comparison_chart_table|buying_guide|frequently_asked_questions|warranty_info,1,french-fitness-tahoe-prone-leg-curl-leg-extension-new,ACTIVE,features|benefits|tech_specs|weight_stacks|comparison_chart_title|comparison_chart_table|buying_guide|frequently_asked_questions|warranty_info,CANONICAL
D005,SAME_PRODUCT_TITLE,french fitness tahoe prone leg curl / leg extension (new),176471998780,french-fitness-tahoe-prone-leg-curl-leg-extension-new-1,French Fitness Tahoe Prone Leg Curl / Leg Extension (New),2025-09-03T15:08:11Z,1,product_title,0,,,features|benefits|tech_specs|weight_stacks|comparison_chart_title|comparison_chart_table|buying_guide|frequently_asked_questions|warranty_info,duplicate
D006,SAME_PRODUCT_TITLE,versaclimber alxp versa climber (new),135764443452,versaclimber-alxp-versa-climber-new,Versaclimber ALXP Versa Climber (New),2026-03-24T15:26:23Z,5,product_title|features|tech_specs|other_comparison_charts|warranty_info,1,versaclimber-alxp-versa-climber-new,ARCHIVED,features,CANONICAL
D006,SAME_PRODUCT_TITLE,versaclimber alxp versa climber (new),135764869436,versaclimber-alxp-versa-climber-new-1,Versaclimber ALXP Versa Climber (New),2026-03-24T15:26:22Z,5,product_title|features|tech_specs|other_comparison_charts|warranty_info,1,versaclimber-alxp-versa-climber-new-1,ARCHIVED,features,duplicate
D007,SAME_PRODUCT_TITLE,french fitness rubber grip olympic plate 10 lbs black (new),135909540156,french-fitness-rubber-grip-olympic-plate-10-lbs-black-new,French Fitness Rubber Grip Olympic Plate 10 lbs Black (New),2025-03-04T01:52:40Z,3,product_title|features|warranty_info,0,,,features|other_features|other_tech_specs,duplicate
D007,SAME_PRODUCT_TITLE,french fitness rubber grip olympic plate 10 lbs black (new),135909933372,french-fitness-rubber-grip-olympic-plate-10-lbs-black-new-1,French Fitness Rubber Grip Olympic Plate 10 lbs Black (New),2025-03-18T00:26:47Z,4,product_title|other_features|other_tech_specs|warranty_info,1,french-fitness-rubber-grip-olympic-plate-10-lbs-black-new,ACTIVE,features|other_features|other_tech_specs,CANONICAL
D008,SAME_PRODUCT_TITLE,sportsart t645l performance treadmill (new),135975698748,sports-art-t-645-l-performance-treadmill-new,SportsArt T645L Performance Treadmill (New),2025-03-04T19:11:34Z,4,product_title|features|tech_specs|warranty_info,0,,,warranty_info,duplicate
D008,SAME_PRODUCT_TITLE,sportsart t645l performance treadmill (new),135975829820,sports-art-t-645-l-performance-treadmill-new-1,SportsArt T645L Performance Treadmill (New),2026-08-04T13:14:55Z,4,product_title|features|tech_specs|warranty_info,1,sportsart-t645l-performance-treadmill-new,ACTIVE,warranty_info,CANONICAL
D009,SAME_PRODUCT_TITLE,french fitness rubber grip weight plate set w/7 ft olympic bar 235 lbs (new),135982088508,french-fitness-rubber-grip-weight-plate-set-w-7-ft-olympic-bar-235-lbs-new,French Fitness Rubber Grip Weight Plate Set w/7 ft Olympic Bar 235 lbs (New),2025-03-04T20:36:59Z,5,product_title|features|tech_specs|warranty_info|set_includes,0,,,features|tech_specs|other_tech_specs,duplicate
D009,SAME_PRODUCT_TITLE,french fitness rubber grip weight plate set w/7 ft olympic bar 235 lbs (new),135984415036,french-fitness-rubber-grip-weight-plate-set-w-7-ft-olympic-bar-235-lbs-new-1,French Fitness Rubber Grip Weight Plate Set w/7 ft Olympic Bar 235 lbs (New),2025-09-20T13:58:03Z,5,product_title|tech_specs|other_tech_specs|warranty_info|set_includes,1,french-fitness-rubber-grip-weight-plate-set-w-7-ft-olympic-bar-235-lbs-new,ACTIVE,features|tech_specs|other_tech_specs,CANONICAL
D010,SAME_PRODUCT_TITLE,french fitness fsr100 commercial functional smith rack system (new),136147042620,french-fitness-fsr-100-commercial-functional-smith-rack-system-new,French Fitness FSR100 Commercial Functional Smith Rack System (New),2026-03-24T15:26:23Z,13,product_title|all_in_one_overview|features|benefits|tech_specs|weight_stacks|comparison_chart_title|comparison_chart_table|other_comparison_charts|buying_guide|frequently_asked_questions|warranty_info|accessories_included,1,french-fitness-fsr100-commercial-functional-smith-rack-system-new,ACTIVE,all_in_one_overview|features|benefits|tech_specs|weight_stacks|comparison_chart_title|comparison_chart_table|buying_guide|frequently_asked_questions|warranty_info|accessories_included,CANONICAL
D010,SAME_PRODUCT_TITLE,french fitness fsr100 commercial functional smith rack system (new),176457646396,french-fitness-fsr-100-commercial-functional-smith-rack-system-new-1,French Fitness FSR100 Commercial Functional Smith Rack System (New),2026-03-24T15:26:26Z,2,product_title|other_comparison_charts,0,,,all_in_one_overview|features|benefits|tech_specs|weight_stacks|comparison_chart_title|comparison_chart_table|buying_guide|frequently_asked_questions|warranty_info|accessories_included,duplicate
D011,SAME_PRODUCT_TITLE,french fitness soft medicine wall ball 6 lb (new),136247476540,french-fitness-soft-medicine-wall-ball-6-lb-new,French Fitness Soft Medicine Wall Ball 6 lb (New),2025-03-07T01:32:27Z,6,product_title|features|tech_specs|other_tech_specs|warranty_info|shipping_dims_weight,0,,,shipping_dims_weight_2,duplicate
D011,SAME_PRODUCT_TITLE,french fitness soft medicine wall ball 6 lb (new),136248426812,french-fitness-soft-medicine-wall-ball-6-lb-new-1,French Fitness Soft Medicine Wall Ball 6 lb (New),2026-02-04T15:13:28Z,7,product_title|features|tech_specs|other_tech_specs|shipping_dims_weight_2|warranty_info|shipping_dims_weight,1,french-fitness-soft-medicine-wall-ball-6-lb-new,ACTIVE,shipping_dims_weight_2,CANONICAL
D012,SAME_PRODUCT_TITLE,life fitness integrity se3 hd elliptical (remanufactured),136336376124,life-fitness-integrity-se-3-hd-elliptical-remanufactured,Life Fitness Integrity SE3 HD Elliptical (Remanufactured),2026-03-24T15:26:23Z,5,product_title|features|tech_specs|other_comparison_charts|warranty_info,0,,,other_features|tech_specs,duplicate
D012,SAME_PRODUCT_TITLE,life fitness integrity se3 hd elliptical (remanufactured),136336671036,life-fitness-integrity-se-3-hd-elliptical-remanufactured-1,Life Fitness Integrity SE3 HD Elliptical (Remanufactured),2026-03-24T15:26:24Z,6,product_title|features|other_features|tech_specs|other_comparison_charts|warranty_info,1,life-fitness-integrity-se3-hd-elliptical-remanufactured,ACTIVE,other_features|tech_specs,CANONICAL
D013,SAME_PRODUCT_TITLE,hammer strength 3 tier dumbbell rack (remanufactured),136432812348,hammer-strength-3-tier-dumbbell-rack-remanufactured,Hammer Strength 3 Tier Dumbbell Rack (Remanufactured),2025-03-08T16:46:59Z,4,product_title|features|tech_specs|warranty_info,0,,,features|benefits|tech_specs|buying_guide|frequently_asked_questions,duplicate
D013,SAME_PRODUCT_TITLE,hammer strength 3 tier dumbbell rack (remanufactured),136432845116,hammer-strength-3-tier-dumbbell-rack-remanufactured-1,Hammer Strength 3 Tier Dumbbell Rack (Remanufactured),2026-03-14T11:16:50Z,7,product_title|features|benefits|tech_specs|buying_guide|frequently_asked_questions|warranty_info,1,hammer-strength-3-tier-dumbbell-rack-remanufactured,UNLISTED,features|benefits|tech_specs|buying_guide|frequently_asked_questions,CANONICAL
D014,SAME_PRODUCT_TITLE,golden designs gdi-8503-01 savonlinna 3 person outdoor traditional sauna - canadian red cedar interior (new),136506638652,golden-designs-gdi-8503-01-savonlinna-3-person-outdoor-traditional-sauna-canadian-red-cedar-interior-new,Golden Designs GDI-8503-01 Savonlinna 3 Person Outdoor Traditional Sauna - Canadian Red Cedar Interior (New),2025-03-09T18:39:53Z,4,product_title|features|tech_specs|warranty_info,0,,,tech_specs,duplicate
D014,SAME_PRODUCT_TITLE,golden designs gdi-8503-01 savonlinna 3 person outdoor traditional sauna - canadian red cedar interior (new),140637733180,golden-designs-gdi-8503-01-savonlinna-3-person-outdoor-traditional-sauna-canadian-red-cedar-interior-new-1,Golden Designs GDI-8503-01 Savonlinna 3 Person Outdoor Traditional Sauna - Canadian Red Cedar Interior (New),2025-03-27T02:57:25Z,4,product_title|features|tech_specs|warranty_info,1,golden-designs-gdi-8503-01-savonlinna-3-person-outdoor-traditional-sauna-canadian-red-cedar-interior-new,ACTIVE,tech_specs,CANONICAL
D015,SAME_PRODUCT_TITLE,nautilus inspiration vertical row 9-ipvr5-60bz (new),136840479036,nautilus-inspiration-vertical-row-9-ipvr-5-60-bz-new,Nautilus Inspiration Vertical Row 9-IPVR5-60BZ (New),2025-03-12T06:19:36Z,4,product_title|features|tech_specs|warranty_info,0,,,features|other_features|tech_specs|weight_stacks|buying_guide|shipping_dims_weight_2|warranty_info|shipping_dims_weight,duplicate
D015,SAME_PRODUCT_TITLE,nautilus inspiration vertical row 9-ipvr5-60bz (new),146348835132,nautilus-inspiration-vertical-row-9-ipvr-5-60-bz-new-1,Nautilus Inspiration Vertical Row 9-IPVR5-60BZ (New),2025-10-15T23:34:45Z,8,product_title|other_features|tech_specs|weight_stacks|buying_guide|shipping_dims_weight_2|warranty_info|shipping_dims_weight,1,nautilus-inspiration-vertical-row-9-ipvr5-60bz-new,ACTIVE,features|other_features|tech_specs|weight_stacks|buying_guide|shipping_dims_weight_2|warranty_info|shipping_dims_weight,CANONICAL
D016,SAME_PRODUCT_TITLE,"stairmaster 8 series gauntlet x w/16"" touch display (new)",146935873852,stairmaster-8-series-gauntlet-x-w-led-display-9-5395-8-gx-16-in-60-new,"Stairmaster 8 Series Gauntlet X w/16"" Touch Display (New)",2025-04-27T23:10:22Z,5,product_title|features|other_features|tech_specs|warranty_info,0,,,features|tech_specs|shipping_dims_weight,duplicate
D016,SAME_PRODUCT_TITLE,"stairmaster 8 series gauntlet x w/16"" touch display (new)",146939248956,stairmaster-8-series-gauntlet-x-w-16-touch-display-new,"Stairmaster 8 Series Gauntlet X w/16"" Touch Display (New)",2025-09-04T03:45:09Z,6,product_title|features|other_features|tech_specs|warranty_info|shipping_dims_weight,1,stairmaster-8-series-gauntlet-x-w-16-touch-display-new,ARCHIVED,features|tech_specs|shipping_dims_weight,CANONICAL
D017,SAME_PRODUCT_TITLE,"star trac 6 series 6tr treadmill w/16"" embedded display - black (new)",173610959164,star-trac-6-series-6-tr-treadmill-w-24-embedded-display-black-new,"Star Trac 6 Series 6TR Treadmill w/16"" Embedded Display - Black (New)",2025-10-07T12:25:52Z,5,product_title|features|other_features|tech_specs|warranty_info,0,,,features|other_features,duplicate
