metaobject_id,handle,display_name,referencing_products,live_referencing_products,populated_field_count,true_duplicate_group,identical_content_group,disposition,reason,risk,needs_tim_approval
271082848572,220-v-240-v-external-transformer-box-for-fitness-equipment,2000VA External Step-Up / Step-Down Transformer Box for Fitness Equipment,1,0,3,,,ARCHIVE CANDIDATE,Referenced only by non-live products (statuses: DRAFT). No customer-facing surface.,Medium - archiving/reactivating the product later would need the record back.,YES
229490983228,45-degree-linear-leg-press-plate-loaded-french-fitness-marin-new,45 Degree Linear Leg Press Plate Loaded - French Fitness Marin (New),1,1,3,,,KEEP,"Live, single-product record, 3 fields populated. Healthy.",n/a - no change proposed.,NO
218562494780,5-stack-multi-jungle-gym-french-fitness-ffb-black-ffs-silver-new,5 Stack Multi Jungle Gym - French Fitness FFB Black & FFS Silver (New),1,1,7,,,KEEP,"Live, single-product record, 7 fields populated. Healthy.",n/a - no change proposed.,NO
135357727036,ab-solo-pro-ct-3000-new,Ab Solo Pro CT3000 (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
147318505788,abs-company-ab-coaster-cs-3000-remanufactured,Abs Company AbCoaster CS3000 (Remanufactured),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
135998570812,air-tek-fitness-hiit-air-magnetic-rower-new,AirTEK Fitness HIIT Air + Magnetic Rower (New),1,0,3,,,ARCHIVE CANDIDATE,Referenced only by non-live products (statuses: DRAFT). No customer-facing surface.,Medium - archiving/reactivating the product later would need the record back.,YES
135357858108,balanced-body-allegro-pilates-reformer-remanufactured,Balanced Body Allegro Pilates Reformer (Remanufactured),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
135999619388,balanced-body-allegro-sport-pilates-reformer-remanufactured,Balanced Body Allegro Sport Pilates Reformer (Remanufactured),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
135999848764,balanced-body-trapeze-table-cadillac-remanufactured,Balanced Body Trapeze Table (Cadillac) (Remanufactured),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136000110908,bh-fitness-vibration-platform-remanufactured,BH Fitness Vibration Platform (Remanufactured),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
135358382396,biodex-950-120-semi-recumbent-cycle-remanufactured,Biodex 950-120 Semi-Recumbent Cycle (Remanufactured),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136002142524,biodex-bio-step-2-950-240-semi-recumbent-elliptical-remanufactured,Biodex BioStep 2 950-240 Semi-Recumbent Elliptical (Remanufactured),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136001388860,biodex-bio-step-semi-recumbent-elliptical-remanufactured,Biodex BioStep Semi-Recumbent Elliptical (Remanufactured),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136000241980,biodex-medical-945-130-upper-body-cycle-ube-remanufactured,Biodex Medical 945-130 Upper Body Cycle UBE (Remanufactured),1,1,2,,,KEEP,"Live, single-product record, 2 fields populated. Healthy.",n/a - no change proposed.,NO
136002306364,biodex-rtm-500-rehab-945-285-treadmill-w-lcd-remanufactured,Biodex RTM 500 Rehab 945-285 Treadmill w/LCD (Remanufactured),1,1,3,,,KEEP,"Live, single-product record, 3 fields populated. Healthy.",n/a - no change proposed.,NO
136647934268,body-craft-ect-800-g-elliptical-cross-trainer-new,BodyCraft ECT800G Elliptical Cross Trainer (New),1,1,3,,,KEEP,"Live, single-product record, 3 fields populated. Healthy.",n/a - no change proposed.,NO
136669528380,body-craft-f-603-flat-incline-utility-bench-for-free-weights-new,BodyCraft  F603 Flat / Incline Utility Bench for Free Weights (New),0,0,4,,,ARCHIVE CANDIDATE,Orphan: zero back-reference metafields; no live template can reach it.,Low - nothing renders it. Recoverable only from the export in this packet.,YES
135516356924,body-craft-f-605-flat-incline-decline-utility-bench-new,BodyCraft F605 Flat/Incline/Decline Utility Bench (New),1,0,4,,,ARCHIVE CANDIDATE,Referenced only by non-live products (statuses: ARCHIVED). No customer-facing surface.,Medium - archiving/reactivating the product later would need the record back.,YES
136669790524,body-craft-f-610-arm-curl-attachment-new,BodyCraft F610 Arm Curl Attachment (New),1,0,2,,,ARCHIVE CANDIDATE,Referenced only by non-live products (statuses: ARCHIVED). No customer-facing surface.,Medium - archiving/reactivating the product later would need the record back.,YES
136669954364,body-craft-f-615-hold-down-attachment-kit-new,BodyCraft F615 Hold Down/Attachment Kit (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136670085436,body-craft-gl-150-strength-training-system-new,BodyCraft GL-150 Strength Training System (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
140391416124,body-craft-glx-leg-press-option-new,BodyCraft GLX Leg Press Option (New),1,1,3,,,KEEP,"Live, single-product record, 3 fields populated. Healthy.",n/a - no change proposed.,NO
136670445884,body-masters-decline-portable-bench-remanufactured,BodyMasters Decline Portable Bench  (Remanufactured),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
135530053948,body-masters-md-111-prone-leg-curl-remanufactured,BodyMasters MD111 Prone Leg Curl (Remanufactured),1,1,3,,,KEEP,"Live, single-product record, 3 fields populated. Healthy.",n/a - no change proposed.,NO
136378155324,body-masters-smith-machine-remanufactured,BodyMasters Smith Machine (Remanufactured),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136046248252,body-solid-aab-2-gut-blaster-ab-slings-new,Body-Solid AAB2 Gut Blaster Ab Slings (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
