priority,metaobject_id,handle,display_name,proposed_action,referencing_products,referencing_product_handles,why_tim_approval_is_required
1,135406977340,french-fitness-3-tier-saddle-15-pair-dumbbell-rack-new,French Fitness 3 Tier Saddle 15 Pair Dumbbell Rack (New),"DECIDE survivor, then MERGE + ARCHIVE the other",1,french-fitness-3-tier-saddle-15-pair-dumbbell-rack-new,High - repointing changes live PDP content.
1,146703778108,french-fitness-3-tier-saddle-15-pair-dumbbell-rack-new-1,French Fitness 3 Tier Saddle 15 Pair Dumbbell Rack V2 (New),"DECIDE survivor, then MERGE + ARCHIVE the other",1,french-fitness-3-tier-saddle-15-pair-dumbbell-rack-v2-new,High - repointing changes live PDP content.
1,135511015740,french-fitness-ffs-silver-seated-leg-press-new,French Fitness FFB Black Seated Leg Press (New),"DECIDE survivor, then MERGE + ARCHIVE the other",1,french-fitness-ffb-black-seated-leg-press-new,High - repointing changes live PDP content.
1,135511245116,french-fitness-ffs-silver-seated-leg-press-new-1,French Fitness FFS Silver Seated Leg Press (New),"DECIDE survivor, then MERGE + ARCHIVE the other",1,french-fitness-ffs-silver-seated-leg-press-new,High - repointing changes live PDP content.
1,195353444668,french-fitness-fsr-110-jammer-arms-new,French Fitness FSR110 Jammer Arms (New),"DECIDE survivor, then MERGE + ARCHIVE the other",1,french-fitness-fsr110-jammer-arms-new,High - repointing changes live PDP content.
1,195363504444,french-fitness-fsr-110-jammer-arms-new-1,French Fitness T850 Commercial Treadmill w/LED Console (New),"DECIDE survivor, then MERGE + ARCHIVE the other",1,french-fitness-t850-commercial-treadmill-w-led-console-new,High - repointing changes live PDP content.
1,135943061820,french-fitness-olympic-colored-bumper-plate-set-370-lbs-new,French Fitness Olympic Colored Bumper Plate Set 370 lbs (New),"DECIDE survivor, then MERGE + ARCHIVE the other",1,french-fitness-olympic-colored-bumper-plate-set-370-lbs-new,High - repointing changes live PDP content.
1,135943160124,french-fitness-olympic-colored-bumper-plate-set-370-lbs-new-1,French Fitness Olympic Colored Bumper Plate Set 370 lbs - Blank (New),"DECIDE survivor, then MERGE + ARCHIVE the other",1,french-fitness-olympic-colored-bumper-plate-set-370-lbs-blank-new,High - repointing changes live PDP content.
1,135486767420,french-fitness-push-pull-weight-sled-new,French Fitness Push / Pull Weight Sled (New),"DECIDE survivor, then MERGE + ARCHIVE the other",1,french-fitness-push-pull-weight-sled-new,High - repointing changes live PDP content.
1,183262150972,french-fitness-push-pull-weight-sled-new-1,French Fitness Push / Pull Weight Sled (New),"DECIDE survivor, then MERGE + ARCHIVE the other",1,french-fitness-push-pull-weight-sled-v3-new,High - repointing changes live PDP content.
1,135510622524,french-fitness-specialty-multi-grip-olympic-swiss-bar-new,French Fitness Multi Grip Olympic Swiss Bar V2 (New),"DECIDE survivor, then MERGE + ARCHIVE the other",1,french-fitness-multi-grip-olympic-swiss-bar-v2-new,High - repointing changes live PDP content.
1,135822475580,french-fitness-specialty-multi-grip-olympic-swiss-bar-new-1,French Fitness Specialty Multi Grip Olympic Swiss Bar (New),"DECIDE survivor, then MERGE + ARCHIVE the other",1,french-fitness-specialty-multigrip-olympic-swiss-bar-new,High - repointing changes live PDP content.
