feed,id,title,product_id,vendor,condition_state,feed_condition,expected_condition,defect
bingshoppingnew (Bing main feed),NAU-9NAS130960AGS,Nautilus Impact Standing Calf 9NA-S1309-60AGS (New),9879261446460,Nautilus,New,New,new,wrong case
bingshoppingnew (Bing main feed),BSLDR300,Body-Solid R300 Endurance Rower (New),9879260365116,Body-Solid,New,New,new,wrong case
bingshoppingnew (Bing main feed),mxj30602s,"GoldenDesigns MX-J306-02S Maxxus ""Alpine"" Dual Techology Low EMF FAR IR Sauna (N",9879230611772,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-S206-01-FS-PC,GoldenDesigns S-Line MX-S206-01-FS-PC Maxxus Full Spectrum Infrared Sauna - Paci,9879224516924,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-S206-01-ULEMF-Elite,GoldenDesigns S-Line MX-S206-01-ULEMF-Elite Maxxus Ultra Low EMF FAR Infrared Sa,9879225205052,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-S206-01,GoldenDesigns S-Line MX-S206-01 Maxxus Low EMF FAR Infrared Sauna Canadian Hemlo,9879223894332,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-S106-01-ULEMF-Elite,GoldenDesigns S-Line MX-S106-01-ULEMF-Elite Maxxus Ultra Low EMF FAR Infrared Sa,9879223206204,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-S106-01,GoldenDesigns S-Line MX-S106-01 Maxxus Low EMF FAR Infrared Sauna Canadian Hemlo,9879222550844,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-M356-01-FS-CED,GoldenDesigns MX-M356-01-FS CED Maxxus 3-Person Corner Full Spectrum Near Zero E,9879221764412,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K406-01C,GoldenDesigns MX-K406-01 Red Cedar LEMF Maxxus Far IR Sauna (New),9879218585916,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-M306-01-FS-CED,GoldenDesigns MX-M306-01-FS CED Canadian Red Cedar Maxxus 3 Person Full Spectrum,9879220945212,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-M206-01-FS-CED,GoldenDesigns MX-M206-01-FS CED Canadian Red Cedar Maxxus 2 Person Full Spectrum,9879220126012,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K406-01-ZF-CED,GoldenDesigns MX-K406-01-ZF CED Maxxus 4 Person Near Zero EMF FAR Infrared Sauna,9879217668412,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),FFB-PSLP,French Fitness FFB Black Pendulum Squat Leg Press Machine (New),9879215046972,French Fitness,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K406-01-ZF,GoldenDesigns MX-K406-01-ZF Hemlock Maxxus 4 Person Near Zero EMF FAR Infrared S,9879216783676,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K406-01,GoldenDesigns MX-K406-01 Hemlock LEMF Maxxus Far IR Sauna (New),9879215964476,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K356-01C,GoldenDesigns MX-K356-01 Red Cedar LEMF Maxxus Far IR Sauna (New),9879215079740,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K356-01-ZF-CED,GoldenDesigns MX-K356-01-ZF CED Canadian Red Cedar Maxxus 3 Person Corner Near Z,9879213998396,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K356-01-ZF,GoldenDesigns MX-K356-01-ZF Hemlock Maxxus 3 Person Corner Near Zero EMF FAR Inf,9879213113660,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K306-01-ZF-CED,GoldenDesigns MX-K306-01-ZF CED Canadian Red Cedar Maxxus 3 Person Near Zero EMF,9879210295612,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K356-01,GoldenDesigns MX-K356-01 Hemlock LEMF Maxxus Far IR Sauna (New),9879212196156,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K306-01C,GoldenDesigns MX-K306-01 Red Cedar LEMF Maxxus Far IR Sauna (New),9879211376956,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K306-01-ZF,GoldenDesigns MX-K306-01-ZF Hemlock Maxxus 3 Person Near Zero EMF FAR Infrared S,9879209574716,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K306-01,GoldenDesigns MX-K306-01 Hemlock LEMF Maxxus Far IR Sauna (New),9879208558908,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K206-01-ZF,GoldenDesigns MX-K206-01-ZF Hemlock Maxxus 2 Person Near Zero EMF FAR Infrared S,9879205904700,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),FFB-LSC,French Fitness FFB Black Leverage Squat & Calf Machine (New),9879202365756,French Fitness,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-K206-01,GoldenDesigns MX-K206-01 Hemlock LEMF Maxxus Far IR Sauna (New),9879204856124,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-J306-01-ZF,GoldenDesigns MX-J306-01-ZF Maxxus Bellevue 3 Person Near Zero EMF FAR Infrared ,9879204036924,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-J306-01,"GoldenDesigns MX-J306-01 Canadian Hemlock Maxxus ""Bellevue"" 3 Person Low EMF FAR",9879203152188,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-J206-02S,GoldenDesigns MX-J206-02S Maxxus 2-Person Low EMF FAR Infrared Sauna (New),9879202267452,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-J206-01-ZF,GoldenDesigns MX-J206-01-ZF Maxxus Seattle 2 Person Near Zero EMF FAR Infrared S,9879201186108,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),MX-J206-01,GoldenDesigns MX-J206-01 Hemlock LEMF Maxxus Far IR Sauna (New),9879200268604,GoldenDesigns,New,New,new,wrong case
bingshoppingnew (Bing main feed),maxicam-2tsdr,"Maxicam 2 Tier Saddle Dumbbell Rack w/5-50 Ivanko Dumbbell Set - 9 Pairs ""As is""",9879184408892,Muscle D,As is,Used,used,wrong case (used)
bingshoppingnew (Bing main feed),FFB-360XL,French Fitness FFB Black 360XL Energy Group Training System (New),9879165141308,French Fitness,New,New,new,wrong case
bingshoppingnew (Bing main feed),TS-M,VersaClimber TS-Magnetic (New),9879127490876,Versaclimber,New,New,new,wrong case
bingshoppingnew (Bing main feed),MarpoFTT,Marpo Kinetics Functional Tire Trainer (New),9879116579132,Marpo Kinetics,New,New,new,wrong case
bingshoppingnew (Bing main feed),FF-EBR9,French Fitness 9 Ball Exercise / Stability Ball Rack EBR9 (New),9879109075260,French Fitness,New,New,new,wrong case
