sku,product_id,variant_id,legacy_gmc_id,gmc_id_rollout_status,item_id_expression_branch,effective_item_id,sku_keyed_target,diff,reason_code,notes
FF-FSR90,9878150218044,51734489661756,FF-FSR90,approved,legacy_gmc_id,FF-FSR90,FF-FSR90,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FFM-CLPS,9878474031420,50748167618876,FFM-CLPS,approved,legacy_gmc_id,FFM-CLPS,FFM-CLPS,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FF-MFAB-ACLE-V2,9878486417724,50748197568828,FF-MFAB-ACLE-V2,approved,legacy_gmc_id,FF-MFAB-ACLE-V2,FF-MFAB-ACLE-V2,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FFS-SBE,9878553035068,50748350660924,FFS-SBE,approved,legacy_gmc_id,FFS-SBE,FFS-SBE,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FFS-SHC,9878553624892,50748351807804,FFS-SHC,approved,legacy_gmc_id,FFS-SHC,FFS-SHC,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FFS-DAP,9878595567932,50748475343164,FFS-DAP,approved,legacy_gmc_id,FFS-DAP,FFS-DAP,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FFS-HAA,9878600319292,50748490154300,FFS-HAA,approved,legacy_gmc_id,FFS-HAA,FFS-HAA,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FFS-LPDLR,9878603956540,50748503687484,FFS-LPDLR,approved,legacy_gmc_id,FFS-LPDLR,FFS-LPDLR,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FFS-PFRD,9878614245692,50748541894972,FFS-PFRD,approved,legacy_gmc_id,FFS-PFRD,FFS-PFRD,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FFT-PCFR,9878638264636,50748607693116,FFT-PCFR,approved,legacy_gmc_id,FFT-PCFR,FFT-PCFR,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FF-SRFT8,9878926229820,50749208756540,FF-SRFT8,approved,legacy_gmc_id,FF-SRFT8,FF-SRFT8,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FF-APGT-1450,9878928818492,50749217964348,FF-APGT-1450,approved,legacy_gmc_id,FF-APGT-1450,FF-APGT-1450,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FF-FSR50,9879165763900,50749637689660,FF-FSR50,approved,legacy_gmc_id,FF-FSR50,FF-FSR50,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FF-FSR60,9879173660988,50749654794556,FF-FSR60,approved,legacy_gmc_id,FF-FSR60,FF-FSR60,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FF-FSR70,9879183065404,51143485194556,FF-FSR70,approved,legacy_gmc_id,FF-FSR70,FF-FSR70,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
FFB-OSR,9879210131772,50749719970108,FFB-OSR,approved,legacy_gmc_id,FFB-OSR,FFB-OSR,NONE,GATE_PASS_LEGACY_EQ_SKU,single-variant; no old_legacy_product_code; ACTIVE; published to Google channel 266740007228
