id,sku,product_id,variant_id,title,price,promotion_id_before,promotion_id_after,custom_label_0_before,custom_label_0_after,sale_price_before,sale_price_after
FF-FSR90,FF-FSR90,9878150218044,51734489661756,French Fitness FSR90 All-in-One Smith Machine Functional Trainer & Squat Rack (New),3299.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FFM-CLPS,FFM-CLPS,9878474031420,50748167618876,French Fitness Monster Compact Plate Loaded Leg Press Sled (New),799.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FF-MFAB-ACLE-V2,FF-MFAB-ACLE-V2,9878486417724,50748197568828,French Fitness Multi Functional Adjustable Bench V2 w/Arm Curl + Leg Ext (New),549.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FFS-SBE,FFS-SBE,9878553035068,50748350660924,French Fitness Shasta Selectorized Back Extension (New),2499.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FFS-SHC,FFS-SHC,9878553624892,50748351807804,French Fitness Shasta Selectorized Horizontal Calf (New),2499.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FFS-DAP,FFS-DAP,9878595567932,50748475343164,French Fitness FFS Silver Dual Adjustable Pulley (New),3099.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FFS-HAA,FFS-HAA,9878600319292,50748490154300,French Fitness Shasta Hip Abductor / Adductor Inner & Outer Thigh Machine (New),2799.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FFS-LPDLR,FFS-LPDLR,9878603956540,50748503687484,French Fitness Shasta Lat Pulldown / Low Row Selectorized Machine (New),2799.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FFS-PFRD,FFS-PFRD,9878614245692,50748541894972,French Fitness Shasta Pec Fly / Rear Delt (New),2799.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FFT-PCFR,FFT-PCFR,9878638264636,50748607693116,French Fitness Tahoe Power Cage / Full Rack (New),1899.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FF-SRFT8,FF-SRFT8,9878926229820,50749208756540,French Fitness SRFT8 All-in-One Squat Rack Functional Trainer / Cable Trainer (New),2699.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FF-APGT-1450,FF-APGT-1450,9878928818492,50749217964348,French Fitness 14 ft x 50 ft Artificial Gym Turf Track with Start Marker (New),4699.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FF-FSR50,FF-FSR50,9879165763900,50749637689660,French Fitness FSR50 All-in-One Home Gym Smith Machine + Dual Cable Rack (New),2799.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FF-FSR60,FF-FSR60,9879173660988,50749654794556,French Fitness FSR60 All-in-One Smith Machine + Cable Squat Rack (New),2799.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FF-FSR70,FF-FSR70,9879183065404,51143485194556,French Fitness FSR70 Dual Cable Smith Machine + Half Rack System (New),2799.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
FFB-OSR,FFB-OSR,9879210131772,50749719970108,French Fitness FFB Black Commercial Olympic Squat Rack / Squat Stand (New),1899.00,,FSS_SEP2026_10,,sep2026_overstock_10,,
