product_id,sku,condition_state,expected_condition,feed
10006373859644,FF-ADMAB,New,new,googleshoppingfrenchfitness
10007773839676,FF-RR-USA,New,new,googleshoppingfrenchfitness
10011475968316,FF-3TS15PDR-V2,New,new,googleshoppingfrenchfitness
10017455243580,FF-RR-HTBA,New,new,googleshoppingfrenchfitness
10017532641596,FF-RR-GHDR,New,new,googleshoppingfrenchfitness
10019813589308,FF-HVD-GDR500,New,new,googleshoppingfrenchfitness
10026483908924,FFT-LPSCR,New,new,googleshoppingfrenchfitness
10028565561660,FFS-LPSCR,New,new,googleshoppingfrenchfitness
10030876852540,FF-URPSD35-V2,New,new,googleshoppingfrenchfitness
10030944125244,FF-URPSD40-V2,New,new,googleshoppingfrenchfitness
10030976729404,FF-URPSD45-V2,New,new,googleshoppingfrenchfitness
10031019065660,FF-URPSD50-V2,New,new,googleshoppingfrenchfitness
10032531046716,FF-URPSD55-V2,New,new,googleshoppingfrenchfitness
10032538714428,FF-URPSD60-V2,New,new,googleshoppingfrenchfitness
10034665914684,FF-URPSD65-V2,New,new,googleshoppingfrenchfitness
10041131303228,FF-URPSD70-V2,New,new,googleshoppingfrenchfitness
10041155813692,FF-URPSD75-V2,New,new,googleshoppingfrenchfitness
10041171018044,FF-URPSD80-V2,New,new,googleshoppingfrenchfitness
10041270305084,FF-URPSD85-V2,New,new,googleshoppingfrenchfitness
10041293013308,FF-URPSD90-V2,New,new,googleshoppingfrenchfitness
10041340559676,FF-URPSD95-V2,New,new,googleshoppingfrenchfitness
10041366675772,FF-URPSD100-V2,New,new,googleshoppingfrenchfitness
10042226639164,FF-URPSD5-50-V2,New,new,googleshoppingfrenchfitness
10042232373564,FF-URPSD5-60-V2,New,new,googleshoppingfrenchfitness
10042246791484,FF-URPSD5-75-V2,New,new,googleshoppingfrenchfitness
10042294239548,FF-URPSD5-100-V2,New,new,googleshoppingfrenchfitness
10042301251900,FF-URPSD55-75-V2,New,new,googleshoppingfrenchfitness
10042305872188,FF-URPSD55-100-V2,New,new,googleshoppingfrenchfitness
10042888782140,FF-VKB570,New,new,googleshoppingfrenchfitness
10042970505532,FF-CMFGM-4,New,new,googleshoppingfrenchfitness
10044059844924,FF-VKB520,New,new,googleshoppingfrenchfitness
10054649119036,FF-TRIDE-SAC,New,new,googleshoppingfrenchfitness
10058504208700,FF-RR-JBS-43-NCM,New,new,googleshoppingfrenchfitness
10059303878972,FF-VAIL-SAC,New,new,googleshoppingfrenchfitness
10060362318140,FF-CIKB106,New,new,googleshoppingfrenchfitness
10060368249148,FF-UB420T,New,new,googleshoppingfrenchfitness
10060396036412,FF-CIKB115,New,new,googleshoppingfrenchfitness
10061163036988,FF-RIG15,New,new,googleshoppingfrenchfitness
10062014939452,FF-TRIDE-HTGM,New,new,googleshoppingfrenchfitness
10063142551868,FF-TRIDE-SLC,New,new,googleshoppingfrenchfitness
10063163064636,FF-TRIDE-PLC,New,new,googleshoppingfrenchfitness
10065496801596,FF-TRIDE-TPSD,New,new,googleshoppingfrenchfitness
10065551556924,FF-TRIDE-TR,New,new,googleshoppingfrenchfitness
10065617879356,FF-TRIDE-GM,New,new,googleshoppingfrenchfitness
10071602823484,FFM-PLISPL,New,new,googleshoppingfrenchfitness
10078810145084,FF-FSR40,New,new,googleshoppingfrenchfitness
10082057650492,FF-RR-JBS-96-CM,New,new,googleshoppingfrenchfitness
10090326982972,FF-E420T,New,new,googleshoppingfrenchfitness
10112722927932,FF-RR-JBS-71-NCM,New,new,googleshoppingfrenchfitness
10113791656252,FF-VAIL-GM,New,new,googleshoppingfrenchfitness
10114801467708,FF-TRIDE-SLE,New,new,googleshoppingfrenchfitness
10116902388028,FF-RIG24,New,new,googleshoppingfrenchfitness
10124211355964,FF-VAIL-TR,New,new,googleshoppingfrenchfitness
10138976944444,FF-PLHSLP,New,new,googleshoppingfrenchfitness
10162197168444,FF-T400,New,new,googleshoppingfrenchfitness
10178987884860,FF-VP100,New,new,googleshoppingfrenchfitness
10187519492412,FF-CAP,New,new,googleshoppingfrenchfitness
10188806848828,FF-TRIDE-DCC,New,new,googleshoppingfrenchfitness
10191983214908,FF-ST200,New,new,googleshoppingfrenchfitness
10196188168508,FF-ST300,New,new,googleshoppingfrenchfitness
10204291203388,FF-SM920T,New,new,googleshoppingfrenchfitness
10211454189884,FFO-FLPPL,New,new,googleshoppingfrenchfitness
10213188501820,FF-RB320T,New,new,googleshoppingfrenchfitness
10213993873724,FF-RB310,New,new,googleshoppingfrenchfitness
10219025727804,FF-T850,New,new,googleshoppingfrenchfitness
10219946049852,FF-MFAB-ACLE-V3,New,new,googleshoppingfrenchfitness
10221238124860,FF-RB300,New,new,googleshoppingfrenchfitness
10226699469116,FF-MAB40D-AL,New,new,googleshoppingfrenchfitness
10226754683196,FF-E310,New,new,googleshoppingfrenchfitness
10226775687484,FF-E320T,New,new,googleshoppingfrenchfitness
10227311083836,FFB-CAFID,New,new,googleshoppingfrenchfitness
10237677207868,FF-RGOP495,New,new,googleshoppingfrenchfitness
10237798940988,FF-CA-FGK10,New,new,googleshoppingfrenchfitness
10240114000188,FF-T300,New,new,googleshoppingfrenchfitness
10242947907900,FF-UB300,New,new,googleshoppingfrenchfitness
10243068690748,FF-WMRFT11,New,new,googleshoppingfrenchfitness
10243298099516,FF-UB310,New,new,googleshoppingfrenchfitness
10243307503932,FF-RB600,New,new,googleshoppingfrenchfitness
10243489923388,FFS-LPDLR-V2,New,new,googleshoppingfrenchfitness
10245808587068,FF-WMRFT21,New,new,googleshoppingfrenchfitness
10246877544764,FF-HPB100-47,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD10,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD100,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD105,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD105-120,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD110,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD115,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD12-5,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD120,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD125,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD130,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD135,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD140,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD145,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD15,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD150,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD17-5,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD2-5,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD2-5-22-5,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD2-5-25,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD20,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD22-5,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD25,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD27-5,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD30,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD35,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD40,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD45,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD5,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD5-100,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD5-50,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD5-75,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD50,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD55,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD55-100,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD55-75,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD60,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD65,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD7-5,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD70,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD75,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD80,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD80-100,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD85,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD90,New,new,googleshoppingfrenchfitness
10247596147004,FF-RCHD95,New,new,googleshoppingfrenchfitness
10247823130940,FF-RB620T,New,new,googleshoppingfrenchfitness
10248660681020,FF-U12OWP50-V2,New,new,googleshoppingfrenchfitness
10248941601084,FF-U12OWP70-V2,New,new,googleshoppingfrenchfitness
10249000485180,FF-U12OWP100-V2,New,new,googleshoppingfrenchfitness
10249211707708,FF-U12OWP120-V2,New,new,googleshoppingfrenchfitness
10249273966908,FF-U12OWP140-V2,New,new,googleshoppingfrenchfitness
10249283862844,FF-U12OWP170-V2,New,new,googleshoppingfrenchfitness
10254897807676,FF-FSR110,New,new,googleshoppingfrenchfitness
10269254254908,FF-MSS-123-2T,New,new,googleshoppingfrenchfitness
10269254254908,FF-MSS-123-3T,New,new,googleshoppingfrenchfitness
10269254254908,FF-MSS-151-2T,New,new,googleshoppingfrenchfitness
10269254254908,FF-MSS-151-3T,New,new,googleshoppingfrenchfitness
10269254254908,FF-MSS-48-2T,New,new,googleshoppingfrenchfitness
10269254254908,FF-MSS-48-3T,New,new,googleshoppingfrenchfitness
10269254254908,FF-MSS-77-2T,New,new,googleshoppingfrenchfitness
10269254254908,FF-MSS-77-3T,New,new,googleshoppingfrenchfitness
10269254254908,FF-MSS-94-2T,New,new,googleshoppingfrenchfitness
10269254254908,FF-MSS-94-3T,New,new,googleshoppingfrenchfitness
10273068548412,FF-X10LP,New,new,googleshoppingfrenchfitness
10273653457212,FF-VAIL-HTGM,New,new,googleshoppingfrenchfitness
10274055684412,FF-VAIL-TPSD,New,new,googleshoppingfrenchfitness
10285757563196,FF-CIOWP335,New,new,googleshoppingfrenchfitness
10290339905852,FF-UB320T,New,new,googleshoppingfrenchfitness
10310913360188,FF-UB600,New,new,googleshoppingfrenchfitness
10323080479036,FF-UB620T,New,new,googleshoppingfrenchfitness
10338979610940,FF-E600,New,new,googleshoppingfrenchfitness
10339479781692,FF-E620T,New,new,googleshoppingfrenchfitness
10346655973692,FFM-PSM,New,new,googleshoppingfrenchfitness
10347757601084,FF-RCHD2-5-25,New,new,googleshoppingfrenchfitness
10347757797692,FF-RCHD5-100,New,new,googleshoppingfrenchfitness
10347758256444,FF-RCHD5-50,New,new,googleshoppingfrenchfitness
10347758485820,FF-RCHD5-75,New,new,googleshoppingfrenchfitness
10347758715196,FF-RCHD2-5-22-5,New,new,googleshoppingfrenchfitness
10354483953980,FF-X90,New,new,googleshoppingfrenchfitness
10354513838396,FF-X90-HLP,New,new,googleshoppingfrenchfitness
10363259519292,FF-SR6,New,new,googleshoppingfrenchfitness
10380780503356,FF-SM900,New,new,googleshoppingfrenchfitness
10393251086652,FF-RR-BPSP-43,New,new,googleshoppingfrenchfitness
9875868123452,FF-FSR100,New,new,googleshoppingfrenchfitness
9875912786236,FFB-4SMJG,New,new,googleshoppingfrenchfitness
9878150218044,FF-FSR90,New,new,googleshoppingfrenchfitness
9878463152444,FF-HDR,New,new,googleshoppingfrenchfitness
9878463938876,FF-HE450,New,new,googleshoppingfrenchfitness
9878463971644,FFD-PLBAC,New,new,googleshoppingfrenchfitness
9878464627004,FF-HPB100,New,new,googleshoppingfrenchfitness
9878465282364,FF-HTB20,New,new,googleshoppingfrenchfitness
9878465675580,FFD-PLDCP,New,new,googleshoppingfrenchfitness
9878465806652,FF-HVD-1-10,New,new,googleshoppingfrenchfitness
9878466887996,FFD-PLILFP,New,new,googleshoppingfrenchfitness
9878466953532,FF-HVD-1-10R,New,new,googleshoppingfrenchfitness
9878467248444,FFD-PLILHR,New,new,googleshoppingfrenchfitness
9878467445052,FF-HVD-1-15,New,new,googleshoppingfrenchfitness
9878467903804,FFD-PLILKLC,New,new,googleshoppingfrenchfitness
9878468526396,FFD-PLILLE,New,new,googleshoppingfrenchfitness
9878468985148,FFD-PLSLR,New,new,googleshoppingfrenchfitness
9878469607740,FFD-PLSOP,New,new,googleshoppingfrenchfitness
9878470230332,FFD-PLSTDP,New,new,googleshoppingfrenchfitness
9878471278908,FFM-ACB,New,new,googleshoppingfrenchfitness
9878472393020,FFM-AHBSR3,New,new,googleshoppingfrenchfitness
9878472819004,FFM-AHBSR5,New,new,googleshoppingfrenchfitness
9878473277756,FFM-ASP,New,new,googleshoppingfrenchfitness
9878474031420,FFM-CLPS,New,new,googleshoppingfrenchfitness
9878474457404,FF-JCR30,New,new,googleshoppingfrenchfitness
