feed,product_id,variant_id,current_id,proposed_id,sku,variants_on_product,rollout_status,legacy_gmc_id,in_tims_114
googleshoppingfrenchfitness,10019813589308,51672824873276,10019813589308,FF-HVD-GDR500,FF-HVD-GDR500,1,hold_cross_feed,,YES
googleshoppingfrenchfitness,10124211355964,52003010347324,10124211355964,FF-VAIL-TR,FF-VAIL-TR,1,(unset),,YES
googleshoppingfrenchfitness,10247596147004,52534100820284,10247596147004,FF-RCHD10,FF-RCHD10,45,hold_ff_variant,,NO
googleshoppingfrenchfitness,10247596147004,52534101541180,10247596147004,FF-RCHD100,FF-RCHD100,45,hold_ff_variant,,NO
googleshoppingfrenchfitness,10247596147004,52534101573948,10247596147004,FF-RCHD105,FF-RCHD105,45,hold_ff_variant,,NO
googleshoppingfrenchfitness,10247596147004,52534108356924,10247596147004,FF-RCHD105-120,FF-RCHD105-120,45,hold_ff_variant,,NO
googleshoppingfrenchfitness,10247596147004,52534101606716,10247596147004,FF-RCHD110,FF-RCHD110,45,hold_ff_variant,,NO
googleshoppingfrenchfitness,10247596147004,52534101639484,10247596147004,FF-RCHD115,FF-RCHD115,45,hold_ff_variant,,NO
googleshoppingfrenchfitness,10247596147004,52534100853052,10247596147004,FF-RCHD12-5,FF-RCHD12-5,45,hold_ff_variant,,NO
googleshoppingfrenchfitness,10247596147004,52534101672252,10247596147004,FF-RCHD120,FF-RCHD120,45,hold_ff_variant,,NO
googleshoppingfrenchfitness,10247596147004,52534101705020,10247596147004,FF-RCHD125,FF-RCHD125,45,hold_ff_variant,,NO
googleshoppingfrenchfitness,10247596147004,52534101737788,10247596147004,FF-RCHD130,FF-RCHD130,45,hold_ff_variant,,NO
googleshoppingfrenchfitness,10247596147004,52534101770556,10247596147004,FF-RCHD135,FF-RCHD135,45,hold_ff_variant,,NO
googleshoppingfrenchfitness,10247596147004,52534101803324,10247596147004,FF-RCHD140,FF-RCHD140,45,hold_ff_variant,,NO
