current_id,new_id_sku,mpn,title,price,condition,availability
9878948053308,sttr4500,tr4500,"Star Trac TR 4500 Treadmill - Remanufactured in USA, 1-Year Parts & Labor Warranty",3999 USD,refurbished,in stock
9878947627324,sttr4000,tr4000,"Star Trac TR 4000 Treadmill - Remanufactured in USA, 1-Year Parts & Labor Warranty",3999 USD,refurbished,in stock
9878946349372,STSTRXTreadblack,STSTRXTreadblack,"Star Trac S-TRx Treadmill - Remanufactured in USA, 1-Year Parts & Labor Warranty",4399 USD,refurbished,in stock
9878944710972,STPST,P-ST,"Star Trac P-ST Pro Stair Stepper - Remanufactured in USA, 1-Year Parts & Labor Warranty",3599 USD,refurbished,in stock
9878944121148,STProUB,STProUB,"Star Trac Pro Upright Bike - Remanufactured in USA, 1-Year Parts & Labor Warranty",3199 USD,refurbished,in stock
9878943203644,stpro,PRO,"Star Trac PRO Indoor Cycle - Remanufactured in USA, 1-Year Parts & Labor Warranty",2349 USD,refurbished,in stock
9878939992380,STMax,STMax,"Star Trac Max Squat Rack / Full Cage / Smith Machine - Remanufactured in USA, 1-Year Parts & Labor Warranty",4299 USD,refurbished,out of stock
9878939074876,STJohnnySpin,JOHNNYG,"Star Trac Johnny G PRO Bike - Remanufactured in USA, 1-Year Parts & Labor Warranty",2249 USD,refurbished,in stock
9878938321212,STIPL8505,IP-L8505,"Star Trac IP-L8505 Max Rack (Newer Version) - Remanufactured in USA, 1-Year Parts & Labor Warranty",4399 USD,refurbished,in stock
9878935765308,stidap,stidap,"Star Trac Instinct Dual Adjustable Pulley - Remanufactured in USA, 1-Year Parts & Labor Warranty",4899 USD,refurbished,out of stock
9878935142716,stiac,stiac,"Star Trac Impact Ab Abdominal Crunch Machine - Remanufactured in USA, 1-Year Parts & Labor Warranty",4099 USD,refurbished,out of stock
9878934421820,ste-ube,E-UBe,"Star Trac E-UBe Upright Bike w/Touch Screen - Remanufactured in USA, 1-Year Parts & Labor Warranty",3699 USD,refurbished,in stock
9878932324668,ste-ub,ste-ub,"Star Trac E-UB E Series Upright Bike - Remanufactured in USA, 1-Year Parts & Labor Warranty",3499 USD,refurbished,in stock
9878931636540,ste-trxe,9-9051-MUSAPO,"Star Trac E-TRxe Treadmill 9-9051-MUSAPO - Remanufactured in USA, 1-Year Parts & Labor Warranty",4799 USD,refurbished,in stock
9878928589116,ste-tr,ste-tr,"Star Trac E-TR E Series Treadmill - Remanufactured in USA, 1-Year Parts & Labor Warranty",4099 USD,refurbished,in stock
9878927311164,ste-tbt,stetbt,"Star Trac E-TBT E Series Elliptical - Remanufactured in USA, 1-Year Parts & Labor Warranty",4099 USD,refurbished,out of stock
9878930129212,ste-trx,ste-trx,"Star Trac E-TRX Treadmill - Remanufactured in USA, 1-Year Parts & Labor Warranty",4399 USD,refurbished,in stock
9878929506620,ste-tre,ste-tre,"Star Trac E-TRE Touch Screen Treadmill - Remanufactured in USA, 1-Year Parts & Labor Warranty",4599 USD,refurbished,in stock
9878926754108,STE-STe,STE-STe,"Star Trac E-STe E Series Stepper w/Embedded Screen - Remanufactured in USA, 1-Year Parts & Labor Warranty",3699 USD,refurbished,in stock
9878925443388,ste-st,ste-st,"Star Trac E-ST Stepper - Remanufactured in USA, 1-Year Parts & Labor Warranty",3699 USD,refurbished,in stock
9878923772220,ste-rbe,ste-rbe,"Star Trac E-RBe Recumbent Bike w/Touch Screen - Remanufactured in USA, 1-Year Parts & Labor Warranty",3699 USD,refurbished,in stock
9878924230972,ste-sm,9-5180-MINTPO,"Star Trac E-SM Stairmill 9-5180-MINTPO - Remanufactured in USA, 1-Year Parts & Labor Warranty",4699 USD,refurbished,in stock
9878922494268,ste-rb,ste-rb,"Star Trac E-RB E Series Recumbent Bike - Remanufactured in USA, 1-Year Parts & Labor Warranty",3499 USD,refurbished,in stock
9878921380156,ste-ptbtx,steptbtx,"Star Trac P-TBTx Total Body Trainer Elliptical - Remanufactured in USA, 1-Year Parts & Labor Warranty",4099 USD,refurbished,out of stock
9878920888636,ste-EE5200,steEE5200,"Star Trac EE5200 Natural Runner Elliptical - Remanufactured in USA, 1-Year Parts & Labor Warranty",4099 USD,refurbished,out of stock
9878920331580,ste-EE4600,steEE4600,"Star Trac EE4600 Edge Elliptical - Remanufactured in USA, 1-Year Parts & Labor Warranty",4099 USD,refurbished,in stock
9878919184700,ste-e-tc,ste-e-tc,"Star Trac E-TC Treadclimber - Remanufactured in USA, 1-Year Parts & Labor Warranty",4899 USD,refurbished,in stock
9878916104508,StarECT,StarECT,"Star Trac E-CT Elliptical - Remanufactured in USA, 1-Year Parts & Labor Warranty",4299 USD,refurbished,in stock
9878918005052,stblade,BLADE,"Star Trac Blade Indoor Cycle - Remanufactured in USA, 1-Year Parts & Labor Warranty",2999 USD,refurbished,in stock
9878912663868,st7600,st7600,"Star Trac 7600 Pro Treadmill - Remanufactured in USA, 1-Year Parts & Labor Warranty",4099 USD,refurbished,in stock
9878912172348,st6430,ST6430HR-161,"Star Trac Pro Recumbent Bike 6430 - Remanufactured in USA, 1-Year Parts & Labor Warranty",3399 USD,refurbished,in stock
9878911549756,st5600,st5600,"Star Trac 5600 Pro Commercial Treadmill - Remanufactured in USA, 1-Year Parts & Labor Warranty",3999 USD,refurbished,in stock
9878910763324,ST4TR15IN2024,ST4TR15IN2024,"Star Trac 4 Series Treadmill w/15"" Embedded Display - Black, 2024 Model - Remanufactured in USA, 1-Year Parts & Labor Warranty",5299 USD,refurbished,in stock
9878909944124,st4400,4400,"Star Trac Recumbent Bike 4400 - Remanufactured in USA, 1-Year Parts & Labor Warranty",3399 USD,refurbished,out of stock
9878909124924,ST-KUSAP3,9-3573-KUSAP3,"Star Trac S Series TRX Treadmill w/LCD - Black - High-Quality, Full Manufacturer's Warranty",5699 USD,new,in stock
9878908567868,ST-KUSAP0,9-3581-KUSAP0,"Star Trac S Series TRC Treadmill w/LCD - Black - Commercial Grade, Full Manufacturer's Warranty",6879 USD,new,in stock
9878908010812,st-imab,st-imab,"Star Trac Instinct Multi Adjustable Bench - Remanufactured in USA, 1-Year Parts & Labor Warranty",2599 USD,refurbished,out of stock
9878907355452,ST-FL114,FL-114,"Star Trac Angled Linear Leg Press FL-114 - Remanufactured in USA, 1-Year Parts & Labor Warranty",4199 USD,refurbished,in stock
9878906241340,ST-8VS-16-ATSC,9-6160-8VS-A15-60B,"Star Trac 8 Series Versastrider w/16"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",13999 USD,new,in stock
9878905291068,ST-8VB-79QS,9-7555-8VB-79QS,"Star Trac Virtual Bike Indoor Cycle w/21"" Touchscreen - Commercial Grade, Full Manufacturer's Warranty",5999 USD,new,in stock
9878904209724,ST-8UB-16-ATSC,9-8140-8UB-A15-60B,"Star Trac 8 Series Upright Bike w/16"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",8499 USD,new,in stock
9878902636860,ST-8TRX-20-ATSC,9-9291-8TRX-A20-60B,"Star Trac 8 Series TRX Treadmill w/20"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",13999 USD,new,in stock
9878893527356,ST-8RB-16-ATSC,9-8150-8RB-A15-60B,"Star Trac 8 Series Recumbent Bike w/16"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",9099 USD,new,in stock
9878900179260,ST-8TR-20-ATSC,9-9281-8TR-110-LCD-60BLK,"Star Trac 8 Series TR Treadmill w/20"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",13999 USD,new,in stock
9878900179260,ST-8TR-20-ATSC-OOB,9-9281-8TR-110-LCD-60BLK,"Star Trac 8 Series TR Treadmill w/20"" Embedded Display - Black - Commercial Grade, Full Manufacturer's Warranty",13999 USD,new,out of stock
