page_handle,page_id,chart_rows,proposed_last_updated_seed,findings
adjustable-cable-crossover-comparison-chart,152488018236,5,2025-12-14,OK
bowflex-home-gym-comparison-chart-compare-bowflex-spiraflex-technology-power-rod-technology-fitness-superstore,144805331260,7,2025-12-02,3 row(s) with no product link
bowflex-treadclimber-comparison-chart,144887841084,9,2026-03-10,OK
the-best-curved-treadmills-compared-woodway-technogym-and-french-fitness-models,151732879676,4,2026-02-20,OK
cybex-arc-trainer-comparison-chart,144805462332,13,2025-12-02,OK
cybex-treadmill-comparison-chart,144887382332,12,2025-12-07,OK
expresso-fitness-bike-comparison-chart,144884531516,10,2026-02-20,OK
first-degree-rower-comparisons-which-rower-is-best-for-me,144805691708,9,2025-12-02,7 row(s) with no product link
french-fitness-home-gym-w-leg-press-comparison-chart,147370246460,7,2025-12-07,OK
french-fitness-home-gyms-w-o-leg-press-comparison-chart,147376144700,3,2025-12-07,OK
french-fitness-msc10-msc20-fsr10-fsr20-fsr50-fsr60-fsr70-fsr80-fsr90-fsr100-srft8-comparison-chart,146629525820,12,2025-12-07,"card count says 11, chart has 12 rows"
keiser-m3-keiser-m3-keiser-m3i-comparison-chart,147757105468,3,2025-12-13,1 row(s) with no product link
life-fitness-classic-series-console-comparisons,144806052156,8,2026-02-20,8 row(s) with no product link
life-fitness-classic-stride-elliptical-comparison-chart,147401670972,8,2025-12-07,OK
life-fitness-elevation-series-console-comparisons,144887939388,7,2025-12-07,"7 row(s) link to a collection search, not a product"
life-fitness-recumbent-bike-comparison-chart,144884564284,11,2026-02-20,OK
life-fitness-stair-stepper-comparison-chart,146665439548,4,2025-12-07,OK
life-fitness-treadmill-comparison-chart,144887415100,15,2025-12-02,OK
life-fitness-upright-bike-comparison-chart,144884597052,11,2025-12-07,OK
matrix-climbmill-comparison-chart,144888037692,4,2025-12-07,OK
matrix-console-comparisons-reviews-3x-5x-7xe-7xi,147454656828,4,2025-12-13,"4 row(s) link to a collection search, not a product"
matrix-elliptical-ascent-trainer-comparison-chart,144888103228,12,2025-12-07,OK
matrix-recumbent-bikes-comparison-chart,144884629820,4,2025-12-07,OK
matrix-steppers-comparison-chart,144888135996,3,2025-12-07,OK
matrix-treadmill-comparison-chart,144887447868,7,2025-12-07,OK
matrix-upright-bikes-comparison-chart,144884662588,4,2025-12-02,OK
monark-exercise-bikes-comparison-chart,144805265724,5,2025-12-13,OK
octane-fitness-elliptical-crosstrainer-comparison-spreadsheet-review-the-octane-elliptical-q35-q35e-q45-and-q45e-side-by-side-fitness-superstore,144805232956,4,2025-12-02,OK
power-plate-comparisons,144888168764,10,2026-06-08,OK
precor-amt-model-comparison-chart-what-is-open-stride,144888299836,6,2025-12-07,OK
precor-5-21s-5-17-5-21si-5-17i-5-19-5-21i-5-23-5-33-home-elliptical-comparison-chart,144805200188,8,2025-12-02,OK
precor-comparisons-features-p30-p80-p82-experience-consoles,147626459452,7,2026-07-27,"card count says 4, chart has 7 rows; 7 row(s) with no product link"
precor-elliptical-comparison-chart,147419332924,6,2025-12-17,identical row set to precor-amt-model-comparison-chart-what-is-open-stride
precor-lower-body-elliptical-comparison-chart,144888332604,11,2025-12-07,OK
precor-recumbent-bike-comparison-chart,144805298492,5,2025-12-02,OK
precor-treadmill-comparison-chart,144887480636,10,2025-12-07,OK
precor-upright-bike-comparison-chart,144884760892,5,2025-12-07,OK
rowing-machines-comparison-chart,152487657788,8,2026-03-28,"card count says 5, chart has 8 rows"
selectorized-horizontal-leg-press-comparison-chart,152485331260,5,2026-03-28,OK
ski-machines-comparison-chart,152484806972,3,2025-12-02,OK
sportsart-t665-sportsart-t673l-and-sportsart-t674l-comparison-chart,144806084924,3,2025-12-13,OK
stairmaster-stepmill-comparison-chart,144888398140,9,2026-03-31,row link 404: /products/stairmaster-sm5-stepmill-tse-1-w-10-touch-screen-remanufactured; 1 row(s) with no product link
stairmaster-stepper-comparison-chart,144888430908,9,2025-12-07,OK
star-trac-treadmill-comparison-chart,144887513404,9,2025-12-07,OK
technogym-treadmill-comparison-chart,144887546172,9,2025-12-07,OK
true-fitness-treadmill-comparison-chart,144887611708,11,2025-12-07,row link 301: /products/true-fitness-cs900-treadmill-w-emerge-console-remanufactured
versaclimber-comparison-chart,144888463676,10,2026-03-31,3 row(s) with no product link
woodway-treadmill-comparison-chart,144887710012,10,2025-12-07,1 row(s) with no product link
