"order","created","sku","tier","qty","current_qty","charged_unit","variant_price_now","line_discount","grouped","check"
"#48747","2026-07-01","room-of-choice-ground-level-0-3-steps-349","ROC_0_3",1,1,349.0,349.00,0.0,"grouped","PASS"
"#48761","2026-07-02","room-of-choice-stair-carry-4-steps-549","ROC_4_PLUS",1,1,549.0,549.00,0.0,"grouped","PASS"
"#48763","2026-07-02","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"grouped","PASS"
"#48773","2026-07-03","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#48774","2026-07-03","room-of-choice-stair-carry-4-steps-599","ROC_4_PLUS",1,1,599.0,599.00,0.0,"grouped","PASS"
"#48775","2026-07-03","full-assembly-installation-any-room-299","ANY_ROOM_ASSEMBLY(unmapped)",1,1,299.0,299.00,0.0,"grouped","PASS"
"#48776","2026-07-03","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#48779","2026-07-03","room-of-choice-stair-carry-4-steps-549","ROC_4_PLUS",1,0,549.0,549.00,0.0,"UNGROUPED","REMOVED (edited out)"
"#48780","2026-07-03","room-of-choice-stair-carry-4-steps-549","ROC_4_PLUS",1,1,549.0,549.00,0.0,"UNGROUPED","PASS"
"#48783","2026-07-03","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,44.9,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48783","2026-07-03","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,44.9,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48783","2026-07-03","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,44.9,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48783","2026-07-03","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,44.9,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48786","2026-07-03","room-of-choice-ground-level-0-3-steps-349","ROC_0_3",1,1,349.0,349.00,0.0,"grouped","PASS"
"#48793","2026-07-04","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#48799","2026-07-05","garage-installation-249","GARAGE",1,1,249.0,249.00,0.0,"grouped","PASS"
"#48801","2026-07-05","garage-installation-299","GARAGE",1,1,299.0,299.00,0.0,"grouped","PASS"
"#48805","2026-07-05","room-of-choice-stair-carry-4-steps-699","ROC_4_PLUS",1,1,699.0,699.00,0.0,"grouped","PASS"
"#48807","2026-07-05","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#48808","2026-07-05","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,0,100.0,100.00,0.0,"grouped","REMOVED (edited out)"
"#48813","2026-07-05","garage-installation-299","GARAGE",1,1,299.0,299.00,0.0,"UNGROUPED","PASS"
"#48821","2026-07-06","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"UNGROUPED","PASS"
"#48823","2026-07-06","full-assembly-installation-any-room-599","ANY_ROOM_ASSEMBLY(unmapped)",1,1,599.0,599.00,0.0,"grouped","PASS"
"#48824","2026-07-06","full-assembly-installation-any-room-399","ANY_ROOM_ASSEMBLY(unmapped)",1,0,399.0,399.00,0.0,"UNGROUPED","REMOVED (edited out)"
"#48828","2026-07-06","full-assembly-installation-any-room-399","ANY_ROOM_ASSEMBLY(unmapped)",1,1,399.0,399.00,0.0,"UNGROUPED","PASS"
"#48829","2026-07-06","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",2,2,100.0,100.00,0.0,"UNGROUPED","PASS"
"#48830","2026-07-06","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#48839","2026-07-07","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,22.45,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48847","2026-07-08","full-assembly-installation-any-room-549","ANY_ROOM_ASSEMBLY(unmapped)",1,1,549.0,549.00,0.0,"grouped","PASS"
"#48848","2026-07-08","full-assembly-installation-any-room-399","ANY_ROOM_ASSEMBLY(unmapped)",1,1,399.0,399.00,0.0,"grouped","PASS"
"#48849","2026-07-08","room-of-choice-ground-level-0-3-steps-349","ROC_0_3",1,1,349.0,349.00,0.0,"grouped","PASS"
"#48851","2026-07-08","garage-installation-349","GARAGE",1,0,349.0,349.00,0.0,"grouped","REMOVED (edited out)"
"#48851","2026-07-08","room-of-choice-ground-level-0-3-steps-449","ROC_0_3",1,1,449.0,449.00,0.0,"UNGROUPED","PASS"
"#48854","2026-07-08","room-of-choice-ground-level-0-3-steps-399","ROC_0_3",1,1,399.0,399.00,0.0,"UNGROUPED","PASS"
"#48854","2026-07-08","full-assembly-installation-any-room-250","ANY_ROOM_ASSEMBLY(unmapped)",1,1,250.0,250.00,0.0,"UNGROUPED","PASS"
"#48860","2026-07-09","room-of-choice-stair-carry-4-steps-449","ROC_4_PLUS",1,1,449.0,449.00,0.0,"grouped","PASS"
"#48868","2026-07-09","full-assembly-installation-any-room-599","ANY_ROOM_ASSEMBLY(unmapped)",1,1,599.0,599.00,299.5,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48869","2026-07-09","full-assembly-installation-any-room-250","ANY_ROOM_ASSEMBLY(unmapped)",1,1,250.0,250.00,0.0,"grouped","PASS"
"#48880","2026-07-10","room-of-choice-ground-level-0-3-steps-399","ROC_0_3",2,2,399.0,399.00,0.0,"UNGROUPED","PASS"
"#48881","2026-07-10","full-assembly-installation-any-room-549","ANY_ROOM_ASSEMBLY(unmapped)",1,1,549.0,549.00,0.0,"grouped","PASS"
"#48883","2026-07-11","room-of-choice-ground-level-0-3-steps-499","ROC_0_3",1,1,499.0,499.00,0.0,"UNGROUPED","PASS"
"#48884","2026-07-11","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"grouped","PASS"
"#48886","2026-07-11","room-of-choice-ground-level-0-3-steps-399","ROC_0_3",1,1,399.0,399.00,0.0,"UNGROUPED","PASS"
"#48893","2026-07-12","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"grouped","PASS"
"#48897","2026-07-13","room-of-choice-stair-carry-4-steps-699","ROC_4_PLUS",1,1,699.0,699.00,0.0,"grouped","PASS"
"#48902","2026-07-13","garage-installation-349","GARAGE",1,0,349.0,349.00,0.0,"grouped","REMOVED (edited out)"
"#48902","2026-07-13","room-of-choice-ground-level-0-3-steps-499","ROC_0_3",1,1,499.0,499.00,0.0,"UNGROUPED","PASS"
"#48907","2026-07-13","room-of-choice-ground-level-0-3-steps-349","ROC_0_3",1,1,349.0,349.00,0.0,"grouped","PASS"
"#48909","2026-07-14","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"grouped","PASS"
"#48920","2026-07-15","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#48928","2026-07-15","room-of-choice-stair-carry-4-steps-449","ROC_4_PLUS",1,1,449.0,449.00,0.0,"grouped","PASS"
"#48929","2026-07-15","garage-installation-349","GARAGE",1,1,349.0,349.00,0.0,"UNGROUPED","PASS"
"#48931","2026-07-15","full-assembly-installation-any-room-399","ANY_ROOM_ASSEMBLY(unmapped)",1,1,399.0,399.00,0.0,"UNGROUPED","PASS"
"#48933","2026-07-15","full-assembly-installation-any-room-250","ANY_ROOM_ASSEMBLY(unmapped)",1,1,250.0,250.00,0.0,"UNGROUPED","PASS"
"#48943","2026-07-16","room-of-choice-ground-level-0-3-steps-349","ROC_0_3",1,1,349.0,349.00,0.0,"grouped","PASS"
"#48954","2026-07-17","room-of-choice-stair-carry-4-steps-599","ROC_4_PLUS",1,1,599.0,599.00,0.0,"grouped","PASS"
"#48956","2026-07-17","room-of-choice-ground-level-0-3-steps-449","ROC_0_3",1,1,449.0,449.00,0.0,"grouped","PASS"
"#48958","2026-07-17","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#48959","2026-07-17","full-assembly-installation-any-room-299","ANY_ROOM_ASSEMBLY(unmapped)",1,1,299.0,299.00,0.0,"grouped","PASS"
"#48961","2026-07-17","full-assembly-installation-any-room-649","ANY_ROOM_ASSEMBLY(unmapped)",1,1,649.0,649.00,97.35,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48961","2026-07-17","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,67.35,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48961","2026-07-17","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,67.35,"UNGROUPED","MANUAL REVIEW: discount on service line"
