role,sku,product_id,processing_time,processing_time_long,processing_time_filter,status,available_for_sale,inventory_policy,inventory_qty,processing_time_verdict,availability_verdict
parent,"(virtual variants, no SKU)",10419704987964,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,TRUE (37 virtual variants),DENY,0,PASS,FLAG - parent virtual variants still availableForSale=true while all 37 children are false
child/set,FF-U8SHD5-BLANK,10392821891388,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD10-BLANK,10397240623420,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD15-BLANK,10397649895740,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD20-BLANK,10398318788924,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD25-BLANK,10398487445820,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD30-BLANK,10398501863740,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD35-BLANK,10398660526396,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD40-BLANK,10398924341564,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD45-BLANK,10399410159932,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD50-BLANK,10399414649148,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD55-BLANK,10400255574332,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD60-BLANK,10400268845372,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD65-BLANK,10400274415932,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD70-BLANK,10400484786492,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD75-BLANK,10400490094908,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD80-BLANK,10400550814012,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD85-BLANK,10403773120828,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD90-BLANK,10403836199228,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD95-BLANK,10406977470780,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD100-BLANK,10407004111164,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD105-BLANK,10407049036092,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD110-BLANK,10407851655484,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD115-BLANK,10407869874492,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD120-BLANK,10409156510012,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD125-BLANK,10409197699388,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD130-BLANK,10409218375996,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD135-BLANK,10409309274428,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD140-BLANK,10410496852284,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
child/set,FF-U8SHD145-BLANK,10411583537468,Ships in 1-2 Weeks,Ships from our Warehouse in 1-2 Weeks + Transit Time,Ships in 2 weeks or less,UNLISTED,FALSE,DENY,-99,PASS,PASS
