row,group,parent_variant_id,purchase_type,set_type,weight,child_product_id,child_variant_id,purchasable_sku,child_handle,status,price_usd,inventory,product_type,legacy_gmc_id,gmc_id_rollout_status,google_youtube_channel,shop_channel,current_google_feed_presence,proposed_google_feed_id
1,Single,53097449947452,Singles (Sold Individually),Dumbbells Only,2.5 lbs,10347757666620,52925461266748,FF-RCHD2-5,french-fitness-rubber-coated-hex-dumbbell-2-5-lbs-single-new,ACTIVE,4.50,9996,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
2,Single,53097450242364,Singles (Sold Individually),Dumbbells Only,5 lbs,10347758387516,52925461987644,FF-RCHD5,french-fitness-rubber-coated-hex-dumbbell-5-lbs-single-new,ACTIVE,9.90,9908,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
3,Single,53097450406204,Singles (Sold Individually),Dumbbells Only,7.5 lbs,10347757568316,52925461168444,FF-RCHD7-5,french-fitness-rubber-coated-hex-dumbbell-7-5-lbs-single-new,ACTIVE,14.40,9969,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
4,Single,53097449455932,Singles (Sold Individually),Dumbbells Only,10 lbs,10347758813500,52925462413628,FF-RCHD10,french-fitness-rubber-coated-hex-dumbbell-10-lbs-single-new,ACTIVE,18.90,9869,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
5,Single,53097449619772,Singles (Sold Individually),Dumbbells Only,12.5 lbs,10347757470012,52925461037372,FF-RCHD12-5,french-fitness-rubber-coated-hex-dumbbell-12-5-lbs-single-new,ACTIVE,23.40,9991,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
6,Single,53097449849148,Singles (Sold Individually),Dumbbells Only,15 lbs,10347758551356,52925462184252,FF-RCHD15,french-fitness-rubber-coated-hex-dumbbell-15-lbs-single-new,ACTIVE,28.80,9919,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
7,Single,53097449914684,Singles (Sold Individually),Dumbbells Only,17.5 lbs,10347757535548,52925461102908,FF-RCHD17-5,french-fitness-rubber-coated-hex-dumbbell-17-5-lbs-single-new,ACTIVE,32.40,9958,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
8,Single,53097449980220,Singles (Sold Individually),Dumbbells Only,20 lbs,10347758453052,52925462020412,FF-RCHD20,french-fitness-rubber-coated-hex-dumbbell-20-lbs-single-new,ACTIVE,37.80,9937,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
9,Single,53097450012988,Singles (Sold Individually),Dumbbells Only,22.5 lbs,10347757633852,52925461233980,FF-RCHD22-5,french-fitness-rubber-coated-hex-dumbbell-22-5-lbs-single-new,ACTIVE,42.30,9994,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
10,Single,53097450045756,Singles (Sold Individually),Dumbbells Only,25 lbs,10347758518588,52925462118716,FF-RCHD25,french-fitness-rubber-coated-hex-dumbbell-25-lbs-single-new,ACTIVE,46.80,9969,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
11,Single,53097450078524,Singles (Sold Individually),Dumbbells Only,27.5 lbs,10347757928764,52925461496124,FF-RCHD27-5,french-fitness-rubber-coated-hex-dumbbell-27-5-lbs-single-new,ACTIVE,51.30,9978,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
12,Single,53097450111292,Singles (Sold Individually),Dumbbells Only,30 lbs,10347758780732,52925462380860,FF-RCHD30,french-fitness-rubber-coated-hex-dumbbell-30-lbs-single-new,ACTIVE,56.70,9949,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
13,Single,53097450144060,Singles (Sold Individually),Dumbbells Only,35 lbs,10347758584124,52925462151484,FF-RCHD35,french-fitness-rubber-coated-hex-dumbbell-35-lbs-single-new,ACTIVE,65.70,9973,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
14,Single,53097450176828,Singles (Sold Individually),Dumbbells Only,40 lbs,10347758420284,52925462053180,FF-RCHD40,french-fitness-rubber-coated-hex-dumbbell-40-lbs-single-new,ACTIVE,75.60,9965,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
15,Single,53097450209596,Singles (Sold Individually),Dumbbells Only,45 lbs,10347758354748,52925461954876,FF-RCHD45,french-fitness-rubber-coated-hex-dumbbell-45-lbs-single-new,ACTIVE,84.60,9986,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
16,Single,53097450275132,Singles (Sold Individually),Dumbbells Only,50 lbs,10347757863228,52925461463356,FF-RCHD50,french-fitness-rubber-coated-hex-dumbbell-50-lbs-single-new,ACTIVE,93.60,9979,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
17,Single,53097450307900,Singles (Sold Individually),Dumbbells Only,55 lbs,10347757830460,52925461430588,FF-RCHD55,french-fitness-rubber-coated-hex-dumbbell-55-lbs-single-new,ACTIVE,98.10,9989,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
18,Single,53097450340668,Singles (Sold Individually),Dumbbells Only,60 lbs,10347758911804,52925462511932,FF-RCHD60,french-fitness-rubber-coated-hex-dumbbell-60-lbs-single-new,ACTIVE,107.10,9975,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
19,Single,53097450373436,Singles (Sold Individually),Dumbbells Only,65 lbs,10347757764924,52925461365052,FF-RCHD65,french-fitness-rubber-coated-hex-dumbbell-65-lbs-single-new,ACTIVE,116.10,9989,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
20,Single,53097450438972,Singles (Sold Individually),Dumbbells Only,70 lbs,10347757732156,52925461332284,FF-RCHD70,french-fitness-rubber-coated-hex-dumbbell-70-lbs-single-new,ACTIVE,125.10,9995,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
21,Single,53097450471740,Singles (Sold Individually),Dumbbells Only,75 lbs,10347758649660,52925462249788,FF-RCHD75,french-fitness-rubber-coated-hex-dumbbell-75-lbs-single-new,ACTIVE,134.10,9975,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
22,Single,53097450504508,Singles (Sold Individually),Dumbbells Only,80 lbs,10347758846268,52925462446396,FF-RCHD80,french-fitness-rubber-coated-hex-dumbbell-80-lbs-single-new,ACTIVE,143.10,9991,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
23,Single,53097450537276,Singles (Sold Individually),Dumbbells Only,85 lbs,10347758223676,52925461823804,FF-RCHD85,french-fitness-rubber-coated-hex-dumbbell-85-lbs-single-new,ACTIVE,152.10,9993,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
24,Single,53097450570044,Singles (Sold Individually),Dumbbells Only,90 lbs,10347758158140,52925461758268,FF-RCHD90,french-fitness-rubber-coated-hex-dumbbell-90-lbs-single-new,ACTIVE,161.10,9995,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
25,Single,53097450602812,Singles (Sold Individually),Dumbbells Only,95 lbs,10347758879036,52925462479164,FF-RCHD95,french-fitness-rubber-coated-hex-dumbbell-95-lbs-single-new,ACTIVE,170.10,9993,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
26,Single,53097449488700,Singles (Sold Individually),Dumbbells Only,100 lbs,10347758027068,52925461627196,FF-RCHD100,french-fitness-rubber-coated-hex-dumbbell-100-lbs-single-new,ACTIVE,179.10,9989,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
27,Single,53097449521468,Singles (Sold Individually),Dumbbells Only,105 lbs,10347757994300,52925461594428,FF-RCHD105,french-fitness-rubber-coated-hex-dumbbell-105-lbs-single-new,ACTIVE,197.10,9997,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
28,Single,53097449554236,Singles (Sold Individually),Dumbbells Only,110 lbs,10347758321980,52925461922108,FF-RCHD110,french-fitness-rubber-coated-hex-dumbbell-110-lbs-single-new,ACTIVE,206.10,9991,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
29,Single,53097449587004,Singles (Sold Individually),Dumbbells Only,115 lbs,10347758616892,52925462217020,FF-RCHD115,french-fitness-rubber-coated-hex-dumbbell-115-lbs-single-new,ACTIVE,215.10,9999,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
30,Single,53097449652540,Singles (Sold Individually),Dumbbells Only,120 lbs,10347757961532,52925461561660,FF-RCHD120,french-fitness-rubber-coated-hex-dumbbell-120-lbs-single-new,ACTIVE,224.10,9990,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
31,Single,53097449685308,Singles (Sold Individually),Dumbbells Only,125 lbs,10347758289212,52925461889340,FF-RCHD125,french-fitness-rubber-coated-hex-dumbbell-125-lbs-single-new,ACTIVE,233.10,9989,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
32,Single,53097449718076,Singles (Sold Individually),Dumbbells Only,130 lbs,10347757699388,52925461299516,FF-RCHD130,french-fitness-rubber-coated-hex-dumbbell-130-lbs-single-new,ACTIVE,242.10,9979,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
33,Single,53097449750844,Singles (Sold Individually),Dumbbells Only,135 lbs,10347757895996,52925461528892,FF-RCHD135,french-fitness-rubber-coated-hex-dumbbell-135-lbs-single-new,ACTIVE,251.10,9991,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
34,Single,53097449783612,Singles (Sold Individually),Dumbbells Only,140 lbs,10347758125372,52925461692732,FF-RCHD140,french-fitness-rubber-coated-hex-dumbbell-140-lbs-single-new,ACTIVE,260.10,9974,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
35,Single,53097449816380,Singles (Sold Individually),Dumbbells Only,145 lbs,10347758747964,52925462348092,FF-RCHD145,french-fitness-rubber-coated-hex-dumbbell-145-lbs-single-new,ACTIVE,278.10,9988,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
36,Single,53097449881916,Singles (Sold Individually),Dumbbells Only,150 lbs,10347758059836,52925461659964,FF-RCHD150,french-fitness-rubber-coated-hex-dumbbell-150-lbs-single-new,ACTIVE,287.10,9982,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
37,Set,53097450668348,Sets,Dumbbells Only,2.5-22.5 lbs,10347758715196,52925462315324,FF-RCHD2-5-22-5,french-fitness-rubber-coated-hex-dumbbell-set-2-5-22-5-lbs-5-pair-new,ACTIVE,188.10,9994,Product Index,FF-RCHD2-5-22-5,approved,FALSE,FALSE,standalone (duplicate with old-parent row),FF-RCHD2-5-22-5 (unchanged)
38,Set,53097450701116,Sets,Dumbbells Only,2.5-25 lbs,10347757601084,52925461201212,FF-RCHD2-5-25,french-fitness-rubber-coated-hex-dumbbell-set-2-5-25-lbs-10-pair-new,ACTIVE,431.10,9994,Product Index,FF-RCHD2-5-25,approved,FALSE,FALSE,standalone (duplicate with old-parent row),FF-RCHD2-5-25 (unchanged)
39,Set,53097450766652,Sets,Dumbbells Only,5-50 lbs,10347758256444,52925461856572,FF-RCHD5-50,french-fitness-rubber-coated-hex-dumbbell-set-5-50-lbs-new,ACTIVE,899.10,9963,Product Index,FF-RCHD5-50,approved,FALSE,FALSE,standalone (duplicate with old-parent row),FF-RCHD5-50 (unchanged)
