group_title,entry_id,handle,updated,fields_filled,products_referencing,referencing_product_handles,differing_fields,role,disposition,risk
French Fitness FSR100 Commercial Functional Smith Rack System (New),136147042620,french-fitness-fsr-100-commercial-functional-smith-rack-system-new,2026-03-24,13,1,french-fitness-fsr100-commercial-functional-smith-rack-system-new [ACTIVE],all_in_one_overview | features | benefits | tech_specs | weight_stacks | comparison_chart_title | comparison_chart_table | buying_guide | frequently_asked_questions | warranty_info | accessories_included,KEEP-canonical,KEEP,LOW
French Fitness FSR100 Commercial Functional Smith Rack System (New),176457646396,french-fitness-fsr-100-commercial-functional-smith-rack-system-new-1,2026-03-24,2,0,,all_in_one_overview | features | benefits | tech_specs | weight_stacks | comparison_chart_title | comparison_chart_table | buying_guide | frequently_asked_questions | warranty_info | accessories_included,ARCHIVE CANDIDATE,ARCHIVE CANDIDATE,LOW
French Fitness FSR50-AB Adjustable Bench (New),127882854716,french-fitness-fsr-50-ab-adjustable-bench-new,2025-01-08,4,0,,warranty_info,ARCHIVE CANDIDATE,ARCHIVE CANDIDATE,LOW
French Fitness FSR50-AB Adjustable Bench (New),136250687804,french-fitness-fsr-50-ab-adjustable-bench-new-1,2025-10-26,4,1,french-fitness-fsr50-ab-adjustable-bench-new [ACTIVE],warranty_info,KEEP-canonical,KEEP,LOW
French Fitness Onyx Leverage Horizontal Bench Press Plate Loaded (New),186876395836,french-fitness-onyx-leverage-horizontal-bench-press-plate-loaded-new,2025-10-22,1,0,,features | tech_specs | warranty_info,ARCHIVE CANDIDATE,ARCHIVE CANDIDATE,LOW
French Fitness Onyx Leverage Horizontal Bench Press Plate Loaded (New),186900709692,french-fitness-onyx-leverage-horizontal-bench-press-plate-loaded-new-1,2025-10-26,4,1,french-fitness-onyx-leverage-horizontal-bench-press-plate-loaded-new [UNLISTED],features | tech_specs | warranty_info,KEEP-canonical,KEEP,LOW
French Fitness Push / Pull Weight Sled (New),135486767420,french-fitness-push-pull-weight-sled-new,2026-06-23,4,1,french-fitness-push-pull-weight-sled-new [ACTIVE],features | benefits | tech_specs,KEEP-primary,MERGE CANDIDATE,HIGH-two live products
French Fitness Push / Pull Weight Sled (New),183262150972,french-fitness-push-pull-weight-sled-new-1,2025-10-26,4,1,french-fitness-push-pull-weight-sled-v3-new [UNLISTED],features | benefits | tech_specs,HOLD-second live ref,MERGE CANDIDATE,HIGH-two live products
French Fitness Rubber Grip Olympic Plate 10 lbs Black (New),135909540156,french-fitness-rubber-grip-olympic-plate-10-lbs-black-new,2025-03-04,3,0,,features | other_features | other_tech_specs,ARCHIVE CANDIDATE,ARCHIVE CANDIDATE,LOW
French Fitness Rubber Grip Olympic Plate 10 lbs Black (New),135909933372,french-fitness-rubber-grip-olympic-plate-10-lbs-black-new-1,2025-03-18,4,1,french-fitness-rubber-grip-olympic-plate-10-lbs-black-new [ACTIVE],features | other_features | other_tech_specs,KEEP-canonical,KEEP,LOW
