entry_id,product_title,handle,updated,fields_filled,is_duplicate_twin,disposition,reason
127882854716,French Fitness FSR50-AB Adjustable Bench (New),french-fitness-fsr-50-ab-adjustable-bench-new,2025-01-08,4,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
135909540156,French Fitness Rubber Grip Olympic Plate 10 lbs Black (New),french-fitness-rubber-grip-olympic-plate-10-lbs-black-new,2025-03-04,3,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
135975698748,SportsArt T645L Performance Treadmill (New),sports-art-t-645-l-performance-treadmill-new,2025-03-04,4,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
135982088508,French Fitness Rubber Grip Weight Plate Set w/7 ft Olympic Bar 235 lbs (New),french-fitness-rubber-grip-weight-plate-set-w-7-ft-olympic-bar-235-lbs-new,2025-03-04,5,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
136247476540,French Fitness Soft Medicine Wall Ball 6 lb (New),french-fitness-soft-medicine-wall-ball-6-lb-new,2025-03-07,6,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
136432812348,Hammer Strength 3 Tier Dumbbell Rack (Remanufactured),hammer-strength-3-tier-dumbbell-rack-remanufactured,2025-03-08,4,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
136506638652,Golden Designs GDI-8503-01 Savonlinna 3 Person Outdoor Traditional Sauna - Canadian Red Cedar Interior (New),golden-designs-gdi-8503-01-savonlinna-3-person-outdoor-traditional-sauna-canadian-red-cedar-interior-new,2025-03-09,4,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
136840479036,Nautilus Inspiration Vertical Row 9-IPVR5-60BZ (New),nautilus-inspiration-vertical-row-9-ipvr-5-60-bz-new,2025-03-12,4,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
146935873852,"Stairmaster 8 Series Gauntlet X w/16"" Touch Display (New)",stairmaster-8-series-gauntlet-x-w-led-display-9-5395-8-gx-16-in-60-new,2025-04-27,5,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
176468525372,French Fitness Tahoe Seated Leg Curl / Leg Extension (New),french-fitness-tahoe-seated-leg-curl-leg-extension-new-1,2025-09-03,1,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
176470065468,French Fitness Tahoe Pec Fly / Rear Delt (New),french-fitness-tahoe-pec-fly-rear-delt-new-1,2025-09-03,1,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
176471998780,French Fitness Tahoe Prone Leg Curl / Leg Extension (New),french-fitness-tahoe-prone-leg-curl-leg-extension-new-1,2025-09-03,1,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
173610959164,"Star Trac 6 Series 6TR Treadmill w/16"" Embedded Display - Black (New)",star-trac-6-series-6-tr-treadmill-w-24-embedded-display-black-new,2025-10-07,5,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
186876395836,French Fitness Onyx Leverage Horizontal Bench Press Plate Loaded (New),french-fitness-onyx-leverage-horizontal-bench-press-plate-loaded-new,2025-10-22,1,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
136336376124,Life Fitness Integrity SE3 HD Elliptical (Remanufactured),life-fitness-integrity-se-3-hd-elliptical-remanufactured,2026-03-24,5,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
176457646396,French Fitness FSR100 Commercial Functional Smith Rack System (New),french-fitness-fsr-100-commercial-functional-smith-rack-system-new-1,2026-03-24,2,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
275975897404,"French Fitness Urethane 8 Sided Hex Dumbbell Set, 5-60 lbs - Blank / No Logo (New)",french-fitness-urethane-8-sided-hex-dumbbell-set-5-60-lbs-blank-no-logo-new,2026-06-30,1,YES,ARCHIVE CANDIDATE,orphan twin of a duplicate group
135523369276,Body-Solid BSTFM10 Tools Foam Exercise Mat (New),body-solid-bstfm-10-tools-foam-exercise-mat-new,2025-03-01,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136049623356,Body-Solid BC2 Extra Pair of Bar Catches for PPR200X and BFPR100 (New),body-solid-bc-2-extra-pair-of-bar-catches-for-ppr-200-x-and-bfpr-100-new,2025-03-05,3,no,HOLD,has content but 0 products; verify with catalog/merch before any action
