sku,product_id,product,variant,price_usd,weight_lb,condition_state,product_condition,ship_ground,ship_2nd_day,ship_overnight,record_action,shipping_source
FF-MSS-48-3T,10269254254908,French Fitness Monster Universal Storage System (New),"Single - Compact (43"") / 3-Tier",218.00,25,New,new,,,,"CREATE - one record for the product, covering all 10 variants","BLOCKED - no exact-SKU sibling, and one product-level record cannot carry 10 per-variant rates. Rate-table owner to supply."
FF-MSS-48-2T,10269254254908,French Fitness Monster Universal Storage System (New),"Single - Compact (43"") / 2-Tier",108.00,25,New,new,,,,"CREATE - one record for the product, covering all 10 variants","BLOCKED - no exact-SKU sibling, and one product-level record cannot carry 10 per-variant rates. Rate-table owner to supply."
FF-MSS-77-3T,10269254254908,French Fitness Monster Universal Storage System (New),"Single - Standard (71"") / 3-Tier",218.00,75,New,new,,,,"CREATE - one record for the product, covering all 10 variants","BLOCKED - no exact-SKU sibling, and one product-level record cannot carry 10 per-variant rates. Rate-table owner to supply."
FF-MSS-77-2T,10269254254908,French Fitness Monster Universal Storage System (New),"Single - Standard (71"") / 2-Tier",108.00,75,New,new,,,,"CREATE - one record for the product, covering all 10 variants","BLOCKED - no exact-SKU sibling, and one product-level record cannot carry 10 per-variant rates. Rate-table owner to supply."
FF-MSS-94-3T,10269254254908,French Fitness Monster Universal Storage System (New),"Dual - Compact (43""+43"") / 3-Tier",327.00,50,New,new,,,,"CREATE - one record for the product, covering all 10 variants","BLOCKED - no exact-SKU sibling, and one product-level record cannot carry 10 per-variant rates. Rate-table owner to supply."
FF-MSS-94-2T,10269254254908,French Fitness Monster Universal Storage System (New),"Dual - Compact (43""+43"") / 2-Tier",162.00,50,New,new,,,,"CREATE - one record for the product, covering all 10 variants","BLOCKED - no exact-SKU sibling, and one product-level record cannot carry 10 per-variant rates. Rate-table owner to supply."
FF-MSS-123-3T,10269254254908,French Fitness Monster Universal Storage System (New),"Dual - Hybrid (43""+71"") / 3-Tier",327.00,100,New,new,,,,"CREATE - one record for the product, covering all 10 variants","BLOCKED - no exact-SKU sibling, and one product-level record cannot carry 10 per-variant rates. Rate-table owner to supply."
FF-MSS-123-2T,10269254254908,French Fitness Monster Universal Storage System (New),"Dual - Hybrid (43""+71"") / 2-Tier",162.00,100,New,new,,,,"CREATE - one record for the product, covering all 10 variants","BLOCKED - no exact-SKU sibling, and one product-level record cannot carry 10 per-variant rates. Rate-table owner to supply."
FF-MSS-151-3T,10269254254908,French Fitness Monster Universal Storage System (New),"Dual - Extended (71""+71"") / 3-Tier",327.00,100,New,new,,,,"CREATE - one record for the product, covering all 10 variants","BLOCKED - no exact-SKU sibling, and one product-level record cannot carry 10 per-variant rates. Rate-table owner to supply."
FF-MSS-151-2T,10269254254908,French Fitness Monster Universal Storage System (New),"Dual - Extended (71""+71"") / 2-Tier",162.00,100,New,new,,,,"CREATE - one record for the product, covering all 10 variants","BLOCKED - no exact-SKU sibling, and one product-level record cannot carry 10 per-variant rates. Rate-table owner to supply."
ST-6UB-LCD-60,10234173653308,Star Trac 6 Series Upright Bike w/LCD (New),single variant,3399.00,75,New,new,0,0,0,CREATE,"5 Star Trac New comparables all 0/0/0, incl. the same 6 Series line (ST-6TR-110-LCD), S Series UB, 4 Series UB x2, 8 Series UB"
FF-STW-WB-3,10414127087932,French Fitness StudioWall 3-Bay (New),single variant,4999.00,328,New,,,,,DO NOT CREATE - flag to Tim,"UNLISTED, launch hold. Its REMOVE FROM FEEDS tag has been removed since Sept 10, so it has re-entered the Meta Feeds collections. Re-tag rather than create a record."
