metaobject_id,name,current,correct,products,product_id,sku,condition_state,status,in_feed_collection
gid://shopify/Metaobject/176449093948,French Fitness FSR90 Functional Trainer Smith & Squat Rack Machine (Ne,,,0,,,,,no
gid://shopify/Metaobject/176457711932,French Fitness FSR100 Commercial Functional Smith Rack System (New) --,,,0,,,,,no
gid://shopify/Metaobject/176470327612,French Fitness Tahoe Pec Fly / Rear Delt (New) -- FFT-PFRD,,,0,,,,,no
gid://shopify/Metaobject/176472064316,French Fitness Tahoe Prone Leg Curl / Leg Extension (New) -- FFT-PLCLE,,,0,,,,,no
gid://shopify/Metaobject/176736600380,"French Fitness 2 Tier Saddle Dumbbell Rack V3, 10 Pairs (New) -- FF-2T",,,0,,,,,no
gid://shopify/Metaobject/227281731900,French Fitness Rack & Rig Angled Junction Bars (New) --FF-RR-AJB,,,0,,,,,no
gid://shopify/Metaobject/178905547068,"French Fitness 2 Tier Saddle Dumbbell Rack V3, 10 Pairs -- FF-2TSDB10-",,new,1,10167557292348,FF-2TSDB10-V3,New,UNLISTED,no
gid://shopify/Metaobject/227410379068,French Fitness Monster Universal Storage System Uprights (New)-- FF-MS,,new,1,10281708388668,FF-MSS-U29,New,UNLISTED,no
gid://shopify/Metaobject/227388850492,French Fitness Rack & Rig Bumper Plate Tier/Tray Attachments (New)-- F,,new,1,10281676734780,FF-RR-BPR-43,New,UNLISTED,no
gid://shopify/Metaobject/227391701308,French Fitness Rack & Rig Ball Tier/Tray Attachments (New)-- FF-RR-BR,,new,1,10281681289532,FF-RR-BR-43,New,UNLISTED,no
gid://shopify/Metaobject/227408576828,French Fitness Rack & Rig Dumbbell Tier/Tray Attachments (New)-- FF-RR,,new,1,10281684205884,FF-RR-DBR-43,New,UNLISTED,no
gid://shopify/Metaobject/227327803708,French Fitness Rack & Rig Double Pull Up Bars (New)-- FF-RR-DPB,,new,1,10283053416764,FF-RR-DPB-43,New,UNLISTED,no
gid://shopify/Metaobject/227290480956,French Fitness Rack & Rig Dirty South Bar Attachments (New) --FF-RR-DS,,new,1,10279796801852,FF-RR-DSBA-43,New,UNLISTED,no
gid://shopify/Metaobject/227386261820,French Fitness Rack & Rig Junction Bar Pull Up Bars (New)-- FF-RR-JB,,new,1,10281668182332,FF-RR-JB-43-V2PU,New,UNLISTED,no
gid://shopify/Metaobject/223758221628,French Fitness Rack & Rig Junction Bar Crossmembers (New) -- FF-RR-JBS,,new,1,10280400355644,FF-RR-JBS-20-CM,New,UNLISTED,no
gid://shopify/Metaobject/227409559868,French Fitness Rack & Rig Kettlebell Tier/Tray Attachments (New)-- FF-,,new,1,10279802011964,FF-RR-KBR-43,New,UNLISTED,no
gid://shopify/Metaobject/227328721212,French Fitness Rack & Rig Pull Up Bars (New)-- FF-RR-PB,,new,1,10281644687676,FF-RR-PB-43,New,UNLISTED,no
gid://shopify/Metaobject/227152527676,French Fitness Rack & Rig Uprights (New) --FF-RR-U,,new,1,10281641443644,FF-RR-U-36,New,UNLISTED,no
gid://shopify/Metaobject/291097870652,French Fitness Onyx Incline Pec Fly Plate Loaded (New) -- FFO-IPFPL,,new,1,10211775873340,FFO-IPFPL,New,UNLISTED,no
gid://shopify/Metaobject/179575357756,French Fitness Onyx Olympic Decline Bench w/Weight Horns (New) -- FFO-,,new,1,10170282475836,FFO-ODBWH,New,UNLISTED,no
gid://shopify/Metaobject/125111435580,FSR60 price difference #26406 -- FSR60-26406,,,1,9878703145276,FSR60-26406,,UNLISTED,no
gid://shopify/Metaobject/188985737532,SportsArt G260 Status Eco-Powr Rower (New) -- SPORTSART-G260,149,new,1,10195454165308,SPORTSART-G260,New,ACTIVE,yes
gid://shopify/Metaobject/125000089916,First Degree Fitness E-216 Rower (New) -- fde216,New,,0,,,,,no
gid://shopify/Metaobject/125000319292,First Degree Fitness E-620 Fluid UBE (New) -- fde620,New,,0,,,,,no
gid://shopify/Metaobject/125001302332,First Degree Fitness Neptune Challenge AR Fluid Rower (New) -- fdneptu,New,,0,,,,,no
gid://shopify/Metaobject/125001531708,First Degree Fitness Pacific AR Rower (New) -- fdpacific,New,,0,,,,,no
gid://shopify/Metaobject/125001695548,First Degree Fitness Fluid PowerZone Row (New) -- fdpzrowor,New,,0,,,,,no
gid://shopify/Metaobject/125001826620,First Degree Fitness Trident AR Rower (New) -- fdtrident,New,,0,,,,,no
gid://shopify/Metaobject/125002318140,First Degree Fitness Viking AR Rower (New) -- fdviking,New,,0,,,,,no
gid://shopify/Metaobject/125002350908,First Degree Fitness Horizontal Viking 2 AR Indoor Rower (New) -- fdvi,New,,0,,,,,no
gid://shopify/Metaobject/125002580284,First Degree Fitness Vortex VX-1 Compact  Rower (New) -- fdvortexvx1,New,,0,,,,,no
gid://shopify/Metaobject/125002613052,First Degree Fitness Vortex VX-2 Compact Rower (New) -- fdvortexvx2,New,,0,,,,,no
gid://shopify/Metaobject/125002645820,First Degree Fitness Vortex VX-Pro 2 Fluid Rower (New) -- fdvortexvxpr,New,,0,,,,,no
gid://shopify/Metaobject/125002744124,First Degree Fitness VX-1 Rower (New) -- fdvx1,New,,0,,,,,no
gid://shopify/Metaobject/125002776892,First Degree Fitness VX-2 Rower (New) -- fdvx2,New,,0,,,,,no
gid://shopify/Metaobject/125002809660,First Degree Fitness VX-3 Rower (New) -- fdvx3,New,,0,,,,,no
gid://shopify/Metaobject/125111501116,GoldenDesigns GDI-3106-01 Low EMF Far Infrared Sauna (New) -- GDI-3106,New,,0,,,,,no
gid://shopify/Metaobject/125111566652,GoldenDesigns GDI-3206-01 Low EMF Far Infrared Sauna (New) -- GDI-3206,New,,0,,,,,no
gid://shopify/Metaobject/125111632188,GoldenDesigns GDI-3306-01 Low EMF Far Infrared Sauna (New) -- GDI-3306,New,,0,,,,,no
gid://shopify/Metaobject/125111664956,GoldenDesigns GDI-6106-01 Low EMF Far Infrared Sauna (New) -- GDI-6106,New,,0,,,,,no
gid://shopify/Metaobject/125111763260,GoldenDesigns GDI-6109-01 Low EMF Far Infrared Sauna (New) -- GDI-6109,New,,0,,,,,no
gid://shopify/Metaobject/125111861564,GoldenDesigns GDI-6202-03 Low EMF Far Infrared Sauna (New) -- GDI-6202,New,,0,,,,,no
gid://shopify/Metaobject/125111894332,GoldenDesigns GDI-6232-01 Low EMF Far Infrared Sauna (New) -- GDI-6232,New,,0,,,,,no
