sku,old_metaobject_id,correct_metaobject_id,name_matches_sku,product_condition,ship_ground,ship_2nd_day,ship_overnight,ratio_2nd=g*0.8_ovn=g*0.6,verdict
FF-MSS-U29,227410379068,125034234172,yes,new,68,54.4,40.8,yes,PASS
FF-RR-BPR-43,227388850492,125061759292,yes,new,19.99,15.99,11.99,yes,PASS
FF-RR-BR-43,227391701308,125061857596,yes,new,19.99,15.99,11.99,yes,PASS
FF-RR-DBR-43,227408576828,125062447420,yes,new,19.99,15.99,11.99,yes,PASS
FF-RR-DPB-43,227327803708,125062578492,yes,new,68,54.4,40.8,yes,PASS
FF-RR-DSBA-43,227290480956,125062644028,yes,new,44,35.2,26.4,yes,PASS
FF-RR-JB-43-V2PU,227386261820,125063430460,yes,new,28,22.4,16.8,yes,PASS
FF-RR-JBS-20-CM,223758221628,125063594300,yes,new,19.99,15.99,11.99,yes,PASS
FF-RR-KBR-43,227409559868,125063823676,yes,new,19.99,15.99,11.99,yes,PASS
FF-RR-PB-43,227328721212,125064544572,yes,new,28,22.4,16.8,yes,PASS
FF-RR-U-36,227152527676,125065396540,yes,new,44,35.2,26.4,yes,PASS
