feed,current_numeric_id,product_id,correct_sku_id,collision,verdict,warning,sku_exists_on_product,product_status,sku_unique_catalogwide
googleshoppingfrenchfitness,10019813589308,10019813589308,FF-HVD-GDR500,,CHANGE,,YES,ACTIVE,YES
googleshoppingfrenchfitness,10124211355964,10124211355964,FF-VAIL-TR,,CHANGE,,YES,ACTIVE,YES
googleshoppingfrenchfitness,10269254254908,10269254254908,FF-MSS-48-3T,YES,CHANGE + RESTORES DROPPED OFFER,,YES,ACTIVE,YES
googleshoppingfrenchfitness,10269254254908,10269254254908,FF-MSS-48-2T,YES,CHANGE + RESTORES DROPPED OFFER,,YES,ACTIVE,YES
googleshoppingfrenchfitness,10269254254908,10269254254908,FF-MSS-77-3T,YES,CHANGE + RESTORES DROPPED OFFER,,YES,ACTIVE,YES
googleshoppingfrenchfitness,10269254254908,10269254254908,FF-MSS-77-2T,YES,CHANGE + RESTORES DROPPED OFFER,,YES,ACTIVE,YES
googleshoppingfrenchfitness,10269254254908,10269254254908,FF-MSS-94-3T,YES,CHANGE + RESTORES DROPPED OFFER,,YES,ACTIVE,YES
googleshoppingfrenchfitness,10269254254908,10269254254908,FF-MSS-94-2T,YES,CHANGE + RESTORES DROPPED OFFER,,YES,ACTIVE,YES
googleshoppingfrenchfitness,10269254254908,10269254254908,FF-MSS-123-3T,YES,CHANGE + RESTORES DROPPED OFFER,,YES,ACTIVE,YES
googleshoppingfrenchfitness,10269254254908,10269254254908,FF-MSS-123-2T,YES,CHANGE + RESTORES DROPPED OFFER,,YES,ACTIVE,YES
googleshoppingfrenchfitness,10269254254908,10269254254908,FF-MSS-151-3T,YES,CHANGE + RESTORES DROPPED OFFER,,YES,ACTIVE,YES
googleshoppingfrenchfitness,10269254254908,10269254254908,FF-MSS-151-2T,YES,CHANGE + RESTORES DROPPED OFFER,,YES,ACTIVE,YES
googleshoppingfrenchfitness,9878464627004,9878464627004,FF-HPB100,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10012639789372,10012639789372,ST-10TRX-110-24IN-79,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10012673343804,10012673343804,ST-10TRX-110-LED-MI-79,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10012746219836,10012746219836,ST-8TRX-110-24IN-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10012773548348,10012773548348,ST-8TRX-110-LED-MI-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10104579850556,10104579850556,ST-6TR-110-LCD,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10129933762876,10129933762876,ST-6TR-110-24IN,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10138120585532,10138120585532,ST-6TR-110-LED,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10138129301820,10138129301820,ST-6TR-110-16IN,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10143915147580,10143915147580,ST-8TR-110-24IN-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10143925928252,10143925928252,ST-8TR-110-LED-MI-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10145609482556,10145609482556,ST-8RDE-16IN-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10145616986428,10145616986428,ST-8RDE-LED-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10145641857340,10145641857340,ST-8CT-16IN-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10145740325180,10145740325180,ST-8CT-LED-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10175750242620,10175750242620,ST-8RB-16IN-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10175768723772,10175768723772,ST-8RB-LED-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10176330301756,10176330301756,ST-8UB-LED-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10177568473404,10177568473404,ST-8UB-16IN-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10177616675132,10177616675132,ST-8VS-16IN-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10177840841020,10177840841020,ST-8VS-LED-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10225631887676,10225631887676,ST-6CT-16IN-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10225641554236,10225641554236,ST-6CT-LED-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10225691263292,10225691263292,ST-6CT-LCD-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10227267469628,10227267469628,ST-6RB-16IN-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10227283624252,10227283624252,ST-6RB-LED-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10231481499964,10231481499964,ST-6RB-LCD-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10233224855868,10233224855868,ST-6UB-16IN-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10234029703484,10234029703484,ST-6UB-LED-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10234173653308,10234173653308,ST-6UB-LCD-60,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,10440921809212,10440921809212,PRECOR-C404EC,,CHANGE,,YES,ACTIVE,YES
googleshoppingfs,931,9878495265084,931,,NO-OP: current id is already the SKU,,YES,ACTIVE,YES
googleshoppingfs,933,9878495887676,933,,NO-OP: current id is already the SKU,,YES,ACTIVE,YES
googleshoppingfs,935,9878496379196,935,,NO-OP: current id is already the SKU,,YES,ACTIVE,YES
