product_id,product_gid,handle,title,status,vendor,product_type,created_at,updated_at,publication_id,publication_name,published
9875864715580,gid://shopify/Product/9875864715580,cybex-610a-arc-trainer-remanufactured,Cybex 610a Arc Trainer (Remanufactured),ACTIVE,Cybex,Product Index,2025-01-13T08:48:33Z,2026-08-22T01:01:06Z,266740007228,Google & YouTube,TRUE
9875868123452,gid://shopify/Product/9875868123452,french-fitness-fsr100-commercial-functional-smith-rack-system-new,French Fitness FSR100 Commercial Functional Smith Rack System (New),ACTIVE,French Fitness,Product Index,2025-01-13T08:50:13Z,2026-08-27T01:15:06Z,266740007228,Google & YouTube,TRUE
9875904364860,gid://shopify/Product/9875904364860,life-fitness-95t-inspire-treadmill-remanufactured,Life Fitness 95T Inspire Treadmill (Remanufactured),ACTIVE,Life Fitness,Product Index,2025-01-13T09:06:14Z,2026-08-22T23:01:43Z,266740007228,Google & YouTube,TRUE
9875912786236,gid://shopify/Product/9875912786236,french-fitness-ffb-black-4-stack-multi-jungle-gym-new,French Fitness FFB Black 4 Stack Multi Jungle Gym (New),ACTIVE,French Fitness,Product Index,2025-01-13T09:09:38Z,2026-08-21T21:00:11Z,266740007228,Google & YouTube,TRUE
9878150218044,gid://shopify/Product/9878150218044,french-fitness-fsr90-functional-trainer-smith-squat-rack-machine-new,"French Fitness FSR90 All-in-One Smith Machine, Functional Trainer & Squat Rack (New)",ACTIVE,French Fitness,Product Index,2025-01-14T08:53:01Z,2026-08-26T12:37:03Z,266740007228,Google & YouTube,TRUE
9878461481276,gid://shopify/Product/9878461481276,stairmaster-1650-le-crossrobics-remanufactured,Stairmaster 1650 LE CrossRobics (Remanufactured),ACTIVE,Stairmaster,Product Index,2025-01-14T13:02:22Z,2026-07-29T21:05:03Z,266740007228,Google & YouTube,TRUE
9878462038332,gid://shopify/Product/9878462038332,cybex-350a-home-arc-trainer-remanufactured,Cybex 350a Home Arc Trainer (Remanufactured),ACTIVE,Cybex,Product Index,2025-01-14T13:03:21Z,2026-08-04T11:07:58Z,266740007228,Google & YouTube,TRUE
9878462333244,gid://shopify/Product/9878462333244,cybex-360a-arc-trainer-remanufactured,Cybex 360a Arc Trainer (Remanufactured),ACTIVE,Cybex,Product Index,2025-01-14T13:03:51Z,2026-08-04T11:09:11Z,266740007228,Google & YouTube,TRUE
9878462628156,gid://shopify/Product/9878462628156,stairmaster-4200pt-stepper-remanufactured,Stairmaster 4200PT Stepper (Remanufactured),ACTIVE,Stairmaster,Product Index,2025-01-14T13:04:21Z,2026-08-22T23:44:21Z,266740007228,Google & YouTube,TRUE
9878463086908,gid://shopify/Product/9878463086908,cybex-425a-arc-trainer-remanufactured,Cybex 425a Arc Trainer (Remanufactured),ACTIVE,Cybex,Product Index,2025-01-14T13:05:11Z,2026-08-26T23:33:41Z,266740007228,Google & YouTube,TRUE
