sku,expected_title,expected_custom_label_3,expected_custom_label_4,observed_title_matches,observed_custom_label_3,observed_custom_label_4,item_status,needs_attention_count,checked_on,notes
FFT-LPSCR,"French Fitness Tahoe Leg Press Sled Machine – Seated w/ Calf Raise, Commercial Grade (FFT-LPSCR)",p1_hero,Tahoe Series,yes,p1_hero,Tahoe Series,Approved,0,2026-09-10,hero_titles_supplemental.csv and v2 both listed in raw source attributes
FFB-45DLLP,"French Fitness FFB Black 45 Degree Leg Press Machine – Linear Plate Loaded, Commercial (FFB-45DLLP)",p1_hero,FFB Black Series,yes,p1_hero,FFB Black Series,Approved,0,2026-09-08,verified with Tim on 2026-09-08
FFT-SLCLE,"French Fitness Tahoe Leg Extension & Leg Curl Machine – Seated Selectorized, Commercial (FFT-SLCLE)",p1_hero,Tahoe Series,yes,p1_hero,Tahoe Series,Approved,0,2026-09-08,verified with Tim on 2026-09-08
FFT-PLCLE,"French Fitness Tahoe Leg Curl & Leg Extension Machine – Prone Selectorized, Commercial (FFT-PLCLE)",p1_hero,Tahoe Series,yes,p1_hero,Tahoe Series,Approved,0,2026-09-10,hero_titles_supplemental.csv and v2 both listed in raw source attributes
FFT-LPDLR,"French Fitness Tahoe Lat Pulldown & Low Row Machine Combo – Selectorized, Commercial (FFT-LPDLR)",p1_hero,Tahoe Series,yes,p1_hero,Tahoe Series,Approved,0,2026-09-10,hero_titles_supplemental.csv and v2 both listed in raw source attributes
FFM-PLHSLP,"French Fitness Monster Hack Squat Leg Press Combo Machine – Plate Loaded, Commercial (FFM-PLHSLP)",p1_hero,Monster Series,yes,p1_hero,Monster Series,Approved,0,2026-09-10,hero_titles_supplemental.csv and v2 both listed in raw source attributes
FFT-HAA,"French Fitness Tahoe Hip Abduction & Adduction Machine – Inner Outer Thigh, Commercial (FFT-HAA)",p1_hero,Tahoe Series,yes,p1_hero,Tahoe Series,Approved,0,2026-09-10,hero_titles_supplemental.csv and v2 both listed in raw source attributes
FFB-DAP,"French Fitness FFB Black Dual Adjustable Pulley Machine – Cable Crossover, Commercial (FFB-DAP)",p1_hero,FFB Black Series,,,,,,,
FFT-ACD,"French Fitness Tahoe Assisted Pull Up & Dip Machine – Chin Dip Selectorized, Commercial (FFT-ACD)",p1_hero,Tahoe Series,,,,,,,
FF-FSR90,"French Fitness FSR90 Smith Machine, Functional Trainer & Squat Rack – All In One Commercial (FF-FSR90)",p1_hero,FSR Series,,,,,,,
