sku,shopify_product_id,shopify_variant_id,keyword_phrase,title
FFT-LPSCR,10026483908924,51694339883324,Leg Press Sled Machine,"French Fitness Tahoe Leg Press Sled Machine – Seated w/ Calf Raise, Commercial Grade (FFT-LPSCR)"
FFB-45DLLP,9879168647484,50749641457980,Leg Press Machine,"French Fitness FFB Black 45 Degree Leg Press Machine – Linear Plate Loaded, Commercial (FFB-45DLLP)"
FFT-SLCLE,9878647144764,50748622405948,Leg Extension & Leg Curl Machine,"French Fitness Tahoe Leg Extension & Leg Curl Machine – Seated Selectorized, Commercial (FFT-SLCLE)"
FFT-PLCLE,9878640951612,50748613755196,Leg Curl & Leg Extension Machine,"French Fitness Tahoe Leg Curl & Leg Extension Machine – Prone Selectorized, Commercial (FFT-PLCLE)"
FFT-LPDLR,9878636790076,50748603498812,Lat Pulldown & Low Row Machine,"French Fitness Tahoe Lat Pulldown & Low Row Machine Combo – Selectorized, Commercial (FFT-LPDLR)"
FFM-PLHSLP,9878484091196,50748193308988,Hack Squat Leg Press Combo Machine,"French Fitness Monster Hack Squat Leg Press Combo Machine – Plate Loaded, Commercial (FFM-PLHSLP)"
FFT-HAA,9878635020604,50748599763260,Hip Abduction & Adduction Machine,"French Fitness Tahoe Hip Abduction & Adduction Machine – Inner Outer Thigh, Commercial (FFT-HAA)"
FFB-DAP,9879184539964,50749674422588,Dual Adjustable Pulley Machine,"French Fitness FFB Black Dual Adjustable Pulley Machine – Cable Crossover, Commercial (FFB-DAP)"
FFT-ACD,9878630400316,50748586950972,Assisted Pull Up & Dip Machine,"French Fitness Tahoe Assisted Pull Up & Dip Machine – Chin Dip Selectorized, Commercial (FFT-ACD)"
FF-FSR90,9878150218044,51734489661756,"Smith Machine, Functional Trainer & Squat Rack","French Fitness FSR90 Smith Machine, Functional Trainer & Squat Rack – All In One Commercial (FF-FSR90)"
