sku,promotion_id,custom_label_0,shopify_discount_node,starts_at,ends_at
FF-FSR90,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FFM-CLPS,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FF-MFAB-ACLE-V2,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FFS-SBE,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FFS-SHC,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FFS-DAP,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FFS-HAA,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FFS-LPDLR,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FFS-PFRD,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FFT-PCFR,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FF-SRFT8,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FF-APGT-1450,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FF-FSR50,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FF-FSR60,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FF-FSR70,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
FFB-OSR,FSS_SEP2026_10,sep2026_overstock_10,gid://shopify/DiscountAutomaticNode/1741840056636,2026-09-16T17:00:00-07:00,2026-09-30T17:00:00-07:00
