id,custom_label_3,custom_label_4
FF-VKB70,p4_tail,
FF-MIC30T,p4_tail,
FF-VKB65,p4_tail,
FF-SE420T,p4_tail,
FF-SE400,p4_tail,
FF-RR-SRP,p4_tail,
FF-RR-RMCC-LSFR,p4_tail,Rack & Rig Series
FF-RR-RMCC,p4_tail,Rack & Rig Series
FF-RR-DBR-71-V2,p4_tail,
FF-RR-DBR-43-V2,p4_tail,
FF-RR-CC,p4_tail,Rack & Rig Series
FF-RIG23,p4_tail,
FF-RIG22,p4_tail,Rack & Rig Series
FFC-56OHB,p2_core,
FFC-47OCB,p4_tail,
FFB-WPB-20-24-30,p4_tail,
FFB-UB,p3_catalog,
FFB-SS-VS,p4_tail,FFB Black Series
FFB-SS-AC,p4_tail,FFB Black Series
FFB-TPSD,p4_tail,FFB Black Series
FFB-TB16,p2_core,
FF-HBPSR,p4_tail,
FF-GT10,p4_tail,
FFB-SM200,p1_hero,SM200 Series
FFB-SLP,p4_tail,FFB Black Series
FF-GT10S,p4_tail,
FFB-SLC,p4_tail,FFB Black Series
FF-GHRSR,p4_tail,
FFB-PVKR,p3_catalog,FFB Black Series
FF-GHD30,p4_tail,
FFB-PSLP,p2_core,FFB Black Series
FF-GHD20,p4_tail,
FFB-PR,p2_core,FFB Black Series
FFB-PPF,p4_tail,FFB Black Series
FFB-PLSVS,p1_hero,FFB Black Series
FFB-PLSCR,p3_catalog,FFB Black Series
FFB-OSR,p3_catalog,FFB Black Series
FFB-OMB,p4_tail,FFB Black Series
FFB-OIB,p4_tail,
FF-FWH,p4_tail,
FFB-OFBWH,p3_catalog,FFB Black Series
FFB-OFB,p4_tail,
FFB-ODB-BLACK,p4_tail,FFB Black Series
FFB-LHS,p2_core,FFB Black Series
FFB-LHBP,p3_catalog,FFB Black Series
FFB-MAB,p2_core,
FFB-LSC,p4_tail,
FFB-HBCC-VKR,p1_hero,FFB Black Series
FFB-GM,p4_tail,FFB Black Series
FFB-ESM,p4_tail,FFB Black Series
FFB-DS-TE,p4_tail,FFB Black Series
FF-FT500,p1_hero,
FFB-DS-SP,p4_tail,FFB Black Series
FF-FT300,p4_tail,
FFB-DS-LR,p4_tail,FFB Black Series
FF-FSVDR,p3_catalog,
FFB-DS-IP,p4_tail,FFB Black Series
FFB-DS-HR,p4_tail,FFB Black Series
FFB-DS-FLPD,p4_tail,FFB Black Series
FFB-DS-DP,p4_tail,FFB Black Series
FFB-DS-CP,p4_tail,FFB Black Series
FFB-DS-BAC,p4_tail,FFB Black Series
FF-FSR80,p4_tail,FSR Series
FFB-DFIB,p4_tail,
FF-FSR70,p1_hero,FSR Series
FFB-DAP,p1_hero,FFB Black Series
FFB-CC,p4_tail,FFB Black Series
FFB-AET50,p4_tail,FFB Black Series
FFB-ACC,p1_hero,FFB Black Series
FFB-ACB,p4_tail,FFB Black Series
FFB-AADB,p2_core,
FF-FSR60,p4_tail,FSR Series
FFB-8SMJG,p1_hero,FFB Black Series
FFB-86OB,p3_catalog,
FFB-5SMJG,p1_hero,FFB Black Series
FFB-72OB,p4_tail,
FF-FSR50-AB,p4_tail,
FFB-45DLLP,p1_hero,FFB Black Series
FFB-45DHBE,p2_core,FFB Black Series
FF-FSR50,p2_core,FSR Series
FFB-360XL,p2_core,FFB Black Series
FFA-SDCA,p2_core,
FFA-PLPPS,p3_catalog,
FF-FSR20-PL,p4_tail,FSR Series
FFA-DCC,p4_tail,
FFA-CFDI,p4_tail,
FF-XT8,p4_tail,
FF-FSR100-ABD,p4_tail,
FF-FSR100-CB,p3_catalog,FSR Series
FF-X8XL-BLACK,p4_tail,
FF-X8XL,p4_tail,
FF-FL70,p3_catalog,
FF-FL30,p4_tail,
FF-FL3,p4_tail,
FF-FL20,p4_tail,
FF-FL100,p4_tail,
FF-X8-BLACK,p4_tail,
FF-FIB,p4_tail,
FF-FGHD,p3_catalog,
FF-FCPRC-BLK,p4_tail,
FF-FCPRC,p4_tail,
FF-FB40,p3_catalog,
FF-FB20,p4_tail,
FF-X8,p4_tail,
FF-FB10,p4_tail,
FF-EZCURLBB95,p4_tail,
FF-EZCURLBB90,p4_tail,
FF-EZCURLBB65,p4_tail,
FF-EZCURLBB85,p4_tail,
FF-EZCURLBB80,p4_tail,
FF-X7LP,p4_tail,
FF-EZCURLBB75,p4_tail,
FF-EZCURLBB70,p4_tail,
FF-EZCURLBB60,p4_tail,
FF-EZCURLBB55,p4_tail,
FF-EZCURLBB50,p4_tail,
FF-EZCURLBB45,p4_tail,
FF-EZCURLBB40,p4_tail,
FF-EZCURLBB25-115,p4_tail,
FF-EZCURLBB125,p4_tail,
FF-X4-Black,p3_catalog,
FF-EZCURLBB120,p4_tail,
FF-EZCURLBB115,p4_tail,
FF-EZCURLBB110,p4_tail,
FF-EZCURLBB105,p4_tail,
FF-X20,p2_core,
FF-EZCURLBB100,p4_tail,
FF-X4,p4_tail,
FF-EZCURLBB-25-65,p4_tail,
FF-EZCURLBB-20-60,p3_catalog,
FF-EZCURLBB,p1_hero,
FF-EBR9,p4_tail,
FF-E500,p3_catalog,
FF-X2-Black,p4_tail,
FF-X2,p4_tail,
FF-DPWMCC,p4_tail,Wall Mounted Cable Column Series
FF-X10,p2_core,
FF-WPSB80,p4_tail,
FF-WPSB70,p4_tail,
FF-WR80,p4_tail,
FF-WR40,p4_tail,
FF-DHR80,p2_core,
FF-WPSB60,p4_tail,
FF-WPSB50,p4_tail,
FF-WPSB460,p4_tail,
FF-WPSB40,p4_tail,
FF-WPSB30,p4_tail,
FF-WPSB20,p4_tail,
FF-WPSB100,p4_tail,
FF-WPSB10,p4_tail,
FF-WMSBPBB,p4_tail,
ff-dgmb-s10-625,p4_tail,
ff-dgmb-s10-430,p3_catalog,
FF-DFIB-FSR,p4_tail,
FF-DBJ10,p4_tail,
FF-WMR10,p4_tail,
FF-WMPUB10,p4_tail,
FF-DAP50,p2_core,
FF-CUBP-C55,p4_tail,
FF-CUBP-C45,p3_catalog,
FF-CUBP-C350,p4_tail,
FF-CUBP-C35,p4_tail,
FF-WMDCCC,p1_hero,Wall Mounted Cable Column Series
FF-WDWPRI-80,p2_core,
FF-CUBP-C340,p4_tail,
FF-WBB-SET,p4_tail,
FF-CUBP-C300,p4_tail,
FF-WDP20,p2_core,
FF-WC44,p3_catalog,
FF-CUBP-C320,p4_tail,
FF-WBWS,p4_tail,
FF-WBB-RACK,p3_catalog,
FF-WBB-36,p4_tail,
FF-CUBP-C260,p4_tail,
FF-CUBP-C25,p4_tail,
FF-CUBP-C210,p4_tail,
FF-WBB-201,p4_tail,
FF-CUBP-B55,p4_tail,
FF-WBB-135,p4_tail,
FF-CUBP-B45,p4_tail,
FF-CUBP-B350,p4_tail,
FF-CUBP-B35,p4_tail,
FF-VO10BRH,p3_catalog,
FF-VMBR10,p4_tail,
FF-CUBP-B340,p4_tail,
FF-VKR20-PT,p3_catalog,
FF-CUBP-B320,p4_tail,
FF-VKB60,p4_tail,
FF-CUBP-B300,p4_tail,
FF-VKB560,p4_tail,
FF-VKB550,p4_tail,
FF-CUBP-B260,p4_tail,
FF-VKB55,p4_tail,
FF-CUBP-B25,p4_tail,
FF-VKB530,p4_tail,
FF-CUBP-B210,p4_tail,
FF-CT80,p4_tail,
FF-CT-100,p1_hero,
FF-VC200,p4_tail,
FF-CSTBR,p4_tail,
FF-URPSD95,p4_tail,
FF-URPSD90,p4_tail,
FF-URPSD85,p4_tail,
FF-URPSD80,p4_tail,
FF-URPSD75,p4_tail,
FF-URPSD70,p4_tail,
FF-COP70,p4_tail,
FF-URPSD65,p4_tail,
FF-URPSD60,p4_tail,
FF-URPSD55-75,p4_tail,
FF-URPSD55-100,p4_tail,
FF-URPSD55,p4_tail,
FF-COP450,p4_tail,
FF-URPSD50,p4_tail,
FF-URPSD5-75,p4_tail,
FF-COP395B,p4_tail,
FF-URPSD5-50,p4_tail,
FF-URPSD5-60,p4_tail,
FF-COP395,p4_tail,
FF-COP350,p4_tail,
FF-URPSD5-100,p4_tail,
FF-COP305B,p4_tail,
FF-URPSD45,p4_tail,
FF-COP305,p4_tail,
FF-URPSD40,p4_tail,
FF-URPSD35,p4_tail,
FF-COP260,p4_tail,
FF-URPSD150,p4_tail,
FF-COP235B,p4_tail,
FF-URPSD135,p4_tail,
FF-COP190,p4_tail,
FF-URPSD145,p4_tail,
FF-COP235,p4_tail,
FF-URPSD140,p4_tail,
FF-URPSD130,p4_tail,
FF-URPSD125,p4_tail,
FF-COP170,p4_tail,
FF-URPSD120,p4_tail,
FF-URPSD115,p4_tail,
FF-COP140,p4_tail,
FF-URPSD110,p4_tail,
FF-URPSD105-130,p4_tail,
FF-COP120,p4_tail,
FF-URPSD105,p4_tail,
FF-COBP55B,p4_tail,
FF-COBP55,p4_tail,
FF-U8SHD95,p4_tail,
FF-URPSD100,p4_tail,
FF-COP100,p4_tail,
FF-UBE100,p1_hero,UBE100 Series
FF-U8SHD90,p4_tail,
FF-U8SHD85,p4_tail,
FF-U8SHD80,p4_tail,
FF-COBP680B,p4_tail,
FF-UB200,p4_tail,
FF-COBP370B,p4_tail,
FF-U8SHD75,p4_tail,
FF-COBP370,p4_tail,
FF-U8SHD70,p4_tail,
FF-U8SHD65,p4_tail,
FF-U8SHD60,p4_tail,
FF-COBP340B,p4_tail,
FF-U8SHD55-100,p4_tail,
FF-U8SHD55,p4_tail,
FF-COBP320B,p4_tail,
FF-U8SHD50,p4_tail,
FF-COBP260B,p4_tail,
FF-U8SHD5-75,p2_core,
FF-COBP260,p4_tail,
FF-U8SHD5-60,p3_catalog,
FF-COBP230B,p4_tail,
FF-COBP230,p3_catalog,
FF-COBP190B,p4_tail,
FF-U8SHD5-50,p2_core,
FF-U8SHD45,p4_tail,
FF-U8SHD40,p4_tail,
FF-COBP190,p4_tail,
FF-U8SHD5-100,p2_core,
FF-U8SHD35,p4_tail,
FF-CMPTBBR,p2_core,
FF-CMFGM,p4_tail,
FF-CIOWP450,p4_tail,
FF-CIOWP395,p4_tail,
FF-U8SHD150,p4_tail,
FF-CIOWP350,p4_tail,
FF-U8SHD145,p4_tail,
FF-U8SHD140,p4_tail,
FF-CIOWP305,p4_tail,
FF-U8SHD135,p4_tail,
FF-U8SHD130,p3_catalog,
FF-U8SHD125,p4_tail,
FF-CIOWP260,p4_tail,
FF-U8SHD120,p4_tail,
FF-CIOWP235,p4_tail,
