# p_under_100 campaign roster. Tim's ruling of 2026-09-19 on the "Phase 2 feed build"
# thread, OPTION A SCOPED: custom_label_0 = p_under_100 is assigned only to French
# Fitness in-stock rows priced $25.00-$99.99, and those rows survive the $830 generator's
# $100 floor and emit with shipping. The floor stays absolute for everything else.
#
# Scope: the campaign Tim named in his 2026-09-17 heads-up is the 17 in-stock under-$100
# offers serving in the live French Fitness feed, all weight variants of product
# 10247596147004 (French Fitness Rubber Coated Hex Dumbbells (New)), $4.50-$98.10.
# Read live from Shopify on 2026-09-19: that product has exactly 17 in-stock variants
# under $100 and the range matches $4.50-$98.10 exactly. 12 of the 17 fall in the
# $25.00-$99.99 band and are listed below; the other 5 (FF-RCHD2-5 $4.50, FF-RCHD5 $9.90,
# FF-RCHD7-5 $14.40, FF-RCHD10 $18.90, FF-RCHD12-5 $23.40) are under $25.00 and drop at
# cutover as designed.
#
# price_2026_09_19 is evidence, not configuration. The generator re-reads the live price
# and stock state and applies the exception only while the row still qualifies.
sku,offer_id,price_2026_09_19,custom_label_0,note
FF-RCHD15,10247596147004-52534100885820,28.80,p_under_100,Hex dumbbell single 15 lbs
FF-RCHD17-5,10247596147004-52534100918588,32.40,p_under_100,Hex dumbbell single 17.5 lbs
FF-RCHD20,10247596147004-52534100951356,37.80,p_under_100,Hex dumbbell single 20 lbs
FF-RCHD22-5,10247596147004-52534100984124,42.30,p_under_100,Hex dumbbell single 22.5 lbs
FF-RCHD25,10247596147004-52534101016892,46.80,p_under_100,Hex dumbbell single 25 lbs
FF-RCHD27-5,10247596147004-52534101049660,51.30,p_under_100,Hex dumbbell single 27.5 lbs
FF-RCHD30,10247596147004-52534101082428,56.70,p_under_100,Hex dumbbell single 30 lbs
FF-RCHD35,10247596147004-52534101115196,65.70,p_under_100,Hex dumbbell single 35 lbs
FF-RCHD40,10247596147004-52534101147964,75.60,p_under_100,Hex dumbbell single 40 lbs
FF-RCHD45,10247596147004-52534101180732,84.60,p_under_100,Hex dumbbell single 45 lbs
FF-RCHD50,10247596147004-52534101213500,93.60,p_under_100,Hex dumbbell single 50 lbs
FF-RCHD55,10247596147004-52534101246268,98.10,p_under_100,Hex dumbbell single 55 lbs
